Myanmar;Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC);India;Food crops;[2007] Intended (Expression of interest);;Onion, Tea, Corn (Maize), Rice, Soya Beans, Sugar Cane
Bangladesh;Individual entrepreneurs from Bangladesh;Bangladesh;Livestock;[2003] Concluded (Oral Agreement);;
Cambodia;30/4 Gialani Company Limited;Viet Nam;Agriunspecified, Industry, Livestock;[2005] Concluded (Contract signed);9380;
Cambodia;China Asean Resources Ltd.;China, Hong Kong Special Administrative Region;For wood and fibre, Non-food agricultural commodities;[2008] Concluded (Contract signed);7000;Accacia, Rubber
Cambodia;Agro Forestry Research;China;Non-food agricultural commodities;[2009] Concluded (Contract signed);7000;Accacia, Rubber
Cambodia;Amira Nature Foods Ltd;United Arab Emirates;Food crops;[2010] Intended (Under negotiation);;Rice
Cambodia;An Mady Group;Cambodia;Livestock, Non-food agricultural commodities;[2005] Concluded (Contract signed);9863;Accacia
Cambodia;Mitr Phol Group;Thailand;Biofuels, Food crops;[2008] Concluded (Contract signed);6523;Sugar Cane
Cambodia;Asia World Agricultural Development (Cambodia) Co. Ltd.;Cambodia;For wood and fibre, Industry;[2006] Concluded (Contract signed);10000;Teak
Cambodia;Bigimexco;Viet Nam;Food crops, Non-food agricultural commodities;Concluded (Contract signed);10603;Cashew, Rubber
Cambodia;BNA (Cam) Corp;Republic of Korea;Agriunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);7500;Cassava (Maniok), Rubber
Cambodia;CJ Corporation, MH Ethanol Co. Ltd.;Republic of Korea;Biofuels;[2001] Concluded (Contract signed);5000;Cassava (Maniok)
Cambodia;"CAMLAND Co., Ltd.
";Cambodia;Agriunspecified;[2000] Concluded (Contract signed);16400;Oil Palm
Cambodia;Carmadeno Venture Limited;India;Agriunspecified;[2009] Concluded (Contract signed);7635;Sugar Cane
Cambodia;Central First Company;United States of America;Non-food agricultural commodities;[2009] Concluded (Contract signed);7000;Rubber
Cambodia;China National Corporation for Overseas Economic Cooperation Laod Star Development;China;Food crops;Failed (Contract canceled);8000;Corn (Maize), Rice, Vegetables
Cambodia;Crystal Agro Company Limited;Cambodia;Biofuels, Non-food agricultural commodities;[2006] Concluded (Contract signed);8000;Cassava (Maniok)
Cambodia;CIV Development Company;Viet Nam;Non-food agricultural commodities;[2008] Concluded (Contract signed);769;Rubber
Cambodia;"Covyphama Co., Ltd
";Cambodia;Non-food agricultural commodities;[2008] Concluded (Contract signed);5345;Rubber
Cambodia;China Asean Resources Ltd.;China, Hong Kong Special Administrative Region;For wood and fibre, Non-food agricultural commodities;[2008] Concluded (Contract signed);7200;Accacia, Rubber
Cambodia;DUI Holding A/S;Denmark;Non-food agricultural commodities;[2009] Concluded (Contract signed);4000;Rubber
Cambodia;Doty Saigon-Binh Phouc (SBK);;Agriunspecified, Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);6436;Cashew, Cassava (Maniok), Rubber
Cambodia;"First Bio-Tech Agricultural (Cambodia) Co. Ltd.
";Cambodia;Agriunspecified, Livestock;[2005] Concluded (Contract signed);10000;Corn (Maize)
Cambodia;"Fortuna Plantation (Cambodia) Limited
";Malaysia;Agriunspecified;[2009] Concluded (Contract signed);7955;Cassava (Maniok), Corn (Maize), Jatropha, Oil Palm
Cambodia;CityStar;France;Other (please specify), Tourism;Concluded (Oral Agreement);333;
Cambodia;;Canada, China;Food crops, For wood and fibre, Livestock;[2005] Concluded (Contract signed);5000;Cashew, Teak
