term	en_term	cat
هدنة	truce	CEASEFIRE
هدنة	armistice	CEASEFIRE
وقف اطلاق النار	cease-fire	CEASEFIRE
وقف إطلاق النار	ceasefire	CEASEFIRE
وقف إطلاق النار	cease fire	CEASEFIRE
تفاوض	negotiation	NEGOTIATION
حوار	dialogue	NEGOTIATION
نقاش	discussion	NEGOTIATION
وساطة	mediation	MEDIATION
تحكم	arbitration	MEDIATION
مصالحة	conciliation	MEDIATION
اقتراح	proposal	PROPOSAL
اقتراح	proposition	PROPOSAL
اقتراح	suggestion	PROPOSAL
مد يده	proffer	PROPOSAL
اقتراح	motion	PROPOSAL
احتجاز	detention	DETENTION
اعتقال	detainment	DETENTION
سجن	jail	DETENTION
السجن	prison	DETENTION
إصلاحية	penitentiary	DETENTION
معسكر إعتقال	concentration camp	DETENTION
عهدة	custody	DETENTION
حبس	confinement	DETENTION
خلاف	dispute	DISPUTE
نزاع	conflict	DISPUTE
قتال	quarrel	DISPUTE
جدال	controversy	DISPUTE
خلاف	contention	DISPUTE
خصام	contestation	DISPUTE
نزاع	disputation	DISPUTE
جدال	argument	DISPUTE
يجادل	arguing	DISPUTE
فرق	difference	DISPUTE
اختلاف الرأي	difference of opinion	DISPUTE
خلافات في الرأي	differences of opinion	DISPUTE
خلاف	disagreement	DISPUTE
انشقاق	dissidence	DISPUTE
خلاف	dissension	DISPUTE
مخالفة	contravention	DISPUTE
صراع	struggle	FIGHT
معركة	battle	FIGHT
يقاتل	fight	FIGHT
قتال	fighting	FIGHT
صراع	strife	FIGHT
حرب	war	FIGHT
حرب	warfare	FIGHT
عداء	feud	FIGHT
قتال	combat	FIGHT
قتال	hostilities	FIGHT
العداء	belligerency	FIGHT
انتقام	reprisal	RETALIATION
ثأر	retaliate	RETALIATION
انتقام	retaliation	RETALIATION
انتقام	revenge	RETALIATION
ثأر	avenge	RETALIATION
هجوم مرتد	strike back	RETALIATION
العين بالعين	tit for tat	RETALIATION
فظاعة	atrocity	ID ATROCITY
إبادة جماعية	genocide	ID ATROCITY
التطهير العرقي	ethnic cleansing	ID ATROCITY
تطهير عرقي	ethnic purge	ID ATROCITY
تطهير عرقي	ethnic purge	ID ATROCITY
جريمة حرب	war crime	ID ATROCITY
جريمة ضد الانسانية	crime against humanity	ID ATROCITY
مذبحة	massacre	ID ATROCITY
مذبحة	massacre	ID ATROCITY
تجارة الأسلحة	arms trade	ID ARMS DEAL
بيع الأسلحة	arms sale	ID ARMS DEAL
صفقة أسلحة	arms deal	ID ARMS DEAL
بيع أسلحة	weapons sale	ID ARMS DEAL
صفقة أسلحة	weapons deal	ID ARMS DEAL
شحنة أسلحة	weapons shipment	ID ARMS DEAL
شحن أسلحة	weapons cargo	ID ARMS DEAL
شحن الأسلحة	arms cargo	ID ARMS DEAL
شحنة أسلحة	arms shipment	ID ARMS DEAL
صفقة الصواريخ	missile sale	ID ARMS DEAL
شحنة الصواريخ	missile shipment	ID ARMS DEAL
شحنة من السلاح	cargo of weapon	ID ARMS DEAL
شحنة من الذراع	cargo of arm	ID ARMS DEAL
شحنة من الأسلحة	shipment of weapon	ID ARMS DEAL
شحنة من الذراع	shipment of arm	ID ARMS DEAL
مدفع المياه	water cannon	VIOLENT UNREST
غاز مسيل للدموع	tear gas	VIOLENT UNREST
رصاصة مطاطية	rubber bullet	VIOLENT UNREST
قنبلة دخان	smoke grenade	VIOLENT UNREST
قنبلة صوتية	stun grenade	VIOLENT UNREST
حشد غاضب	angry mob	VIOLENT UNREST
اشتباك مع الشرطة	clash with police	VIOLENT UNREST
اشتباك مع جنود	clash with soldiers	VIOLENT UNREST
اشتباك مع المحتجين	clash with protester	VIOLENT UNREST
اشتباك مع المتظاهرين	clash with demonstrator	VIOLENT UNREST
اشتباكات دامية	deadly clashes	VIOLENT UNREST
اشتباكات عنيفة	violent clashes	VIOLENT UNREST
تحولت الاحتجاجات العنيفة	protest turned violent	VIOLENT UNREST
إطلاق النار على الحشد	fire into the crowd	VIOLENT UNREST
أطلق النار على المتظاهرين	shot at the protester	VIOLENT UNREST
أطلقوا النار على المتظاهرين	shot at protester	VIOLENT UNREST
النار في المتظاهرين	shot into the protesters	VIOLENT UNREST
تفريق الحشد	disperse the crowd	VIOLENT UNREST
تفريق احتجاج	disperse the protest	VIOLENT UNREST
تفريق احتجاج	disperse the protest	VIOLENT UNREST
تفريق المتظاهرين	disperse the demonstrator	VIOLENT UNREST
تفريق احتجاج	break up the protest	VIOLENT UNREST
تفريق تظاهرة	break up the demonstration	VIOLENT UNREST
الشرطة حطموا	smashed police	VIOLENT UNREST
سيارة سحق	smash car	VIOLENT UNREST
احتجاجات عنيفة	violent protests	VIOLENT UNREST
الاضطرابات العنيفة	violent unrest	VIOLENT UNREST
متظاهر	rioter	VIOLENT UNREST
شرطة مكافحة الشغب	riot police	VIOLENT UNREST
المهرب	smuggler	ID SMUGGLING
تهريب	smuggle	ID SMUGGLING
الاتجار بالأسلحة	arms traffic	ID SMUGGLING
مهرب أسلحة	arms trafficker	ID SMUGGLING
خطف	kidnap	KIDNAP
خطف	abduct	KIDNAP
اختطاف	abduction	KIDNAP
اغتيال	assassinate	ASSASSINATION
اغتيال	assassination	ASSASSINATION
الاشياء صناديق الاقتراع	stuff the ballot box	ELECTION FRAUD
صناديق الاقتراع الاشياء	stuff ballot box	ELECTION FRAUD
وحشو صناديق الإقتراع	ballot box stuffing	ELECTION FRAUD
صناديق الاقتراع العبث	ballot box tampering	ELECTION FRAUD
تزوير الانتخابات	ballot fraud	ELECTION FRAUD
حشو صناديق الاقتراع	ballot stuffing	ELECTION FRAUD
عبث الاقتراع	ballot tamper	ELECTION FRAUD
صوت دائري	carousel vote	ELECTION FRAUD
الناخب دائري	carousel voter	ELECTION FRAUD
حرمان	disenfranchise	ELECTION FRAUD
الحرمان	disenfranchisement	ELECTION FRAUD
تزوير الانتخابات	election fraud	ELECTION FRAUD
مراقبة الانتخابات	election monitor	ELECTION FRAUD
مراقبة الانتخابات	election monitoring	ELECTION FRAUD
مراقبي الانتخابات	election monitors	ELECTION FRAUD
الوكالة الدولية للطاقة الانتخابات	elections watchdog	ELECTION FRAUD
العبث الانتخابات	election tampering	ELECTION FRAUD
جهاز مراقبة الانتخابات	election watchdog	ELECTION FRAUD
الاحتيال الانتخابي	electoral fraud	ELECTION FRAUD
انتهاك الانتخابي	electoral violation	ELECTION FRAUD
التلاعب التصويت	vote manipulation	ELECTION FRAUD
