term	en_term	cat
رئيس	president	LEADER
محافظ حاكم	governor	LEADER
دكتاتور	dictator	LEADER
مسطرة	ruler	LEADER
الوزير الأول	prime minister	LEADER
ملكة	queen	LEADER
ملك	king	LEADER
سلطان	sultan	LEADER
وزير	minister	LEADER
رهينة	hostage	HOSTAGE
أسير	prisoner	HOSTAGE
أسير	captive	HOSTAGE
مفاوض	negotiator	NEGOTIATOR
وسيط	mediator	NEGOTIATOR
وسيط	go-between	NEGOTIATOR
intermediator	intermediator	NEGOTIATOR
وسيط	intermediary	NEGOTIATOR
شفيع	intercessor	NEGOTIATOR
لاجئ	refugee	REFUGEE
مغترب	expatriate	REFUGEE
المشردين	displaced person	REFUGEE
شخص عديم الجنسية	stateless person	REFUGEE
منفى	exile	REFUGEE
الجيش	military	MILITARY
القوات المسلحة	armed forces	MILITARY
القوات المسلحة	armed services	MILITARY
جيش	army	MILITARY
القوات البرية	ground forces	MILITARY
المارينز	marines	MILITARY
محميات	reserves	MILITARY
القوات	troops	MILITARY
القوات البحرية	navy	MILITARY
القوات الخاصة	special forces	MILITARY
جنود	soldiers	MILITARY
الجنود	servicemen	MILITARY
المظليين	paratroopers	MILITARY
المشاة	infantrymen	MILITARY
سرفيسممبرس	servicemembers	MILITARY
ألوية مقاتلة	combat brigades	MILITARY
كتائب	battalions	MILITARY
لواء	brigades	MILITARY
معارضة	opposition	OPPOSITION
مقاومة	resistance	OPPOSITION
الخصم	opponent	OPPOSITION
العدو	enemy	OPPOSITION
عدو	foe	OPPOSITION
خصم	adversary	OPPOSITION
منافس	rival	OPPOSITION
منافس	challenger	OPPOSITION
المنافس	contender	OPPOSITION
اشخاص	people	PEOPLE
قوم	folk	PEOPLE
فقير	poor	PEOPLE
غني	rich	PEOPLE
ثري	wealthy	PEOPLE
جماهير	populace	PEOPLE
عامة	public	PEOPLE
تعداد السكان	population	PEOPLE
السكان	populations	PEOPLE
المواطنين	citizenry	PEOPLE
متابعون	followers	PEOPLE
الجماهير	masses	PEOPLE
المدنيين	civilians	PEOPLE
الناخبين	voters	PEOPLE
المواطنين	citizens	PEOPLE
المواطنين	nationals	PEOPLE
المواضيع	subjects	PEOPLE
مشتبه فيه	suspect	SUSPECT
المتهم	accused	SUSPECT
المدعى عليه	defendant	SUSPECT
حفظ السلام	peacekeeping	PKO
قوات حفظ السلام	peacekeeper	PKO
حفظ السلام	peace-keeping	PKO
حارس السلام	peace-keeper	PKO
الامم المتحدة قوات حفظ السلام	un peacekeepers	PKO
قوات حفظ السلام	peacekeeping force	PKO
الخوذات الزرقاء	blue helmets	PKO
قوات حفظ السلام	peacekeeping contingent	PKO
طالب بوذي	buddhist student	BUDEDU
محارب البوذية	buddhist warrior	BUDUAF
