nameAR	nameEN	altName	latitude	longitude	population	place	id
الخرطوم	Khartoum	Khartoem,ካርቱም,Xartum,Хартум,ཁར་ཏུམ།,C'hartoum,Kartum,خەرتووم,Chartúm,Khartum,Χαρτούμ,Ĥartumo,Jartum,Hartum,خارطوم,Kartûm,Cartúm,Khartún - الخرطوم,חרטום,खार्तूम,Kartoum,Kartúm,Խարթում,Cartum,ハルツーム,ხარტუმი,ಖಾರ್ತೂಮ್,하르툼,Xertûm,Khartumensis Urbs,Chartumas,Hartūma,Картум,खार्टूम,ခါတွမ်းမြို့,Khartom,Chartum,خرطوم,Khartuum,கர்த்தூம்,คาร์ทูม,خارتۇم,Al-Khartoum,喀土穆	15.593325	32.53565	2682431	city	node/27565117
قنتي	Ganetti		17.9738607	31.255919		village	node/75553735
الدبة	Al Dabbah	El Debba,Ad-Dabba	18.043988	30.95119	52000	city	node/75561491
دنقلا	Dongola	Dunqulah;Dunqula,Донгола,Al 'Urdi	19.1728506	30.4731589	13500	city	node/75562621
دبك	Dabak		16.1743104	32.5866564		village	node/90093539
	Goz Nafisah		16.2034044	32.5853968		village	node/90093776
	Wad AlBasal		16.2329943	32.6033076		village	node/90094057
	Qerri		16.2303572	32.6248082		village	node/90094971
	Hillat ed Dareisa		16.1311106	32.664934		village	node/90096106
ود رملي	Wad Ramli		16.0992818	32.5703486		village	node/90096121
	AlNukhaylah		16.1281423	32.5732668		village	node/90096719
	AlHakamab West		16.1151144	32.5488909		village	node/90097172
	Hawawit East		16.2666142	32.6980646		village	node/90098113
	Hawawit West		16.3005579	32.6604708		village	node/90099211
	Al Miseiktab		16.3392729	32.7018412		village	node/90099550
	Mideini		16.345862	32.728277		village	node/90099881
	AlHuqnah		16.3476328	32.6693328		village	node/90100057
	AlQuweiz		16.3562392	32.7016695		village	node/90100322
	Hajar al Asal		16.4695193	32.8429576		village	node/90102509
	Wad Hamid		16.484674	32.80192		village	node/90104994
	El Basaber		16.5166664	32.9446991		village	node/90105507
	Biryab		16.5692625	32.9425104		village	node/90106851
	Salawa		16.5465761	33.0885513		village	node/90108362
	AlZumah		16.5259854	33.130823		village	node/90108967
	El Ghadoora		16.506236	33.1390627		village	node/90109077
	Al Hawsh		16.6469065	33.3248003		village	node/90110842
	Al Salluab		16.6750283	33.2763918		village	node/90111660
شندي	Shendi	Schandi	16.6884963	33.432286		city	node/90112925
	Al Matammah		16.7095897	33.3569934		village	node/90114371
الشقالوة		"NA"	16.710709	33.4586962		village	node/90115181
	Hillat al Sheikh Al Tayiq		16.7411228	33.5931071		village	node/90116244
	Taragma		16.7425686	33.5415994		town	node/90116658
كبوشية	Kabushiyah		16.8927902	33.6942156		town	node/90118541
	Hillat el Mashaykha		16.8389071	33.6669214		village	node/90118744
	Qawz Burra		16.8742285	33.6267527		village	node/90119314
	Hillat ed Darqab		16.9322873	33.7099666		village	node/90124760
	Hillat el Karada		17.326247	33.7501772		village	node/90128919
	Ageida		17.2900277	33.7258013		village	node/90129206
	Gabati		17.2031378	33.7666567		village	node/90129651
	Kiteiyab		17.1736188	33.7168749		village	node/90130013
	Gabrab		17.1498361	33.7000521		village	node/90130354
	ukabrabiya		17.1196524	33.7048586		village	node/90130936
	Kimeir		17.0953706	33.6689814		village	node/90131023
	Zeidab North		17.4404303	33.8631304		village	node/90132018
	Zeidab East		17.3985912	33.8804014		village	node/90132660
	Zeidab East		17.4022679	33.8277682		village	node/90133206
الدامر	ad-Damer	ad-Damir	17.583018	33.9687021	20000	town	node/90135018
عطبرة	Atbara	Atbarah,Атбара	17.690719	33.98073	111399	city	node/90135276
	Syyalah		17.5330689	33.9040973		village	node/90135840
	Butri		15.4664844	32.6969924		village	node/90146993
	Baqayr AlWarrani		15.400752	32.7351435		village	node/90148570
	Al 'Aylafun		15.4336833	32.7245005		town	node/90149106
	Baqayr al Quddami		15.3749328	32.762781		village	node/90149197
	AlHudaybah		15.4164736	32.7488764		village	node/90149416
	الجديد ١	"NA"	15.3388468	32.7809771		village	node/90150262
	Jadid AlAtsha		15.3128544	32.7852686		village	node/90152102
مدينة جياد الصناعية	Giad Industrial Complex		15.3161657	32.8285273		town	node/90152580
	AlMasudiyah		15.3070594	32.8647478		village	node/90152968
	AlNuba		15.2908328	32.8983935		village	node/90158058
	Mahas Kutrang		15.2878522	32.9342707		village	node/90164530
	Al Masid		15.2560571	32.9747828		village	node/90165330
	Alti		15.2504263	32.9986437		village	node/90165802
	Um Maghat		15.2439671	33.032976		village	node/90166336
	AlTekeina		15.2156439	33.0647333		village	node/90166497
	Bashaqra West		15.1984163	33.0671366		village	node/90166990
	Bashaqra East		15.2315451	33.0844744		village	node/90167842
	Fadl		15.1984163	33.0822428		village	node/90167981
	Takala		15.1767141	33.1037005		village	node/90169210
ود راوة	Wad Rawah		15.1637911	33.1306513		village	node/90169573
	Wad at Turabi		15.1362857	33.1279047		village	node/90169925
	Kasambar		15.106125	33.1727083		village	node/90170296
الكاملين	Al Kamilin		15.0812654	33.1864413		town	node/90171779
	Brankaw		14.9746609	33.2660921		village	node/90171918
	Al Hilaliyah		14.9376772	33.2374247		village	node/90172676
	Abu 'Ushar		14.917773	33.2070406		village	node/90173492
	Ganneb		14.8477621	33.2736452		village	node/90173580
العك	Al Uk		14.8346533	33.2875498		village	node/90174656
	Al Junayd		14.7951991	33.3097475		village	node/90187378
	Al Hasahisa		14.7357306	33.2987078		town	node/90187514
رفاعة	Rufaah		14.7677692	33.3659991		city	node/90187942
وادي حلفا	Wadi Halfa	Вади-Хальфа	21.8005	31.350737	15725	city	node/100013911
	Sonki		21.176875	30.6776268		village	node/100016082
هجليج	Higlig		10.0256429	29.3856417		town	node/210348785
كادوقلي‎	Kaduqli	Kadougli,Кадугли,Кадуглі	11.0085934	29.7155751	92674	city	node/210360300
أبيي	Abyei	アビエイ	9.6044573	28.4334735		town	node/238610118
كوستي	Kosti	Кости,Кості	13.1521864	32.6725113	384000	city	node/248948488
	Al Wusa		13.0369908	32.5158539		village	node/248948627
	Um Hajar		13.0404534	32.4272788		village	node/248948635
	Um Hajlijah		12.9969623	32.2760296		village	node/248948641
	Abu Humayrah		13.0741907	32.2643513		village	node/248948647
	Salimah		12.9839427	32.0674386		village	node/248948652
تندلتي	Tandalti		13.009027	31.866068		city	node/248948657
	Al Fulah		12.949878	31.9250508		village	node/248948663
	Um Hujailijah		12.9875439	31.7865471		village	node/248948669
أم روابة	Umm Ruwaba	Um Rawaba	12.905825	31.2147916		city	node/248948675
الرهد	Al Rahad		12.7234142	30.6397248		town	node/248948680
الأبيض	Al-Ubayyid	El Obeid,Эль-Обейд	13.183366	30.222559	429000	city	node/248948689
	Um Duwainib		15.1418238	32.5686574		village	node/248966783
بورتسودان	Port Sudan	Bur Sudan,Port-Soudan,Porto Sudàn,Porto Sudão,Порт-Судан	19.619217	37.211709	489000	city	node/288510602
سواكن	Sawakin	Suakin	19.103071	37.331236	40000	city	node/288512635
نيالا	Nyala	Ньяла	12.0505098	24.8795115	566000	city	node/291449779
القضارف	Al-Qadarif	Gedaref,Al Quadarif,al Qadarif,Гедареф	14.040941	35.398832	354598	city	node/294865520
كسلا	Kassala	Kasala,Кассала	15.4521163	36.3771099	436000	city	node/300066939
ود مدني	Wad Madanī	Wad Madani,Вад-Медани	14.3965781	33.5309561	369733	city	node/300069794
الفاشر	Al-Fashir	Al-Faschir,El Fasher,Эль-Фашир	13.6238244	25.3555559	277000	city	node/300074306
الضعين	Ad Da'ein	El Daein,Ad-Du’ain,Ed Daein	11.4611731	26.1310939	240000	city	node/300076998
الدمازين	Ad-Damazin	Эд-Дамазин	11.8073636	34.3656298	213000	city	node/300077759
الجنينة	Geneina	Al-Junaynah,Эль-Генейна	13.4435	22.4452278	178000	city	node/300078547
المقرن	Mogran		15.6030902	32.5061151		suburb	node/312338791
	Er Roseires		11.863337	34.387746		town	node/321368128
سنار	Sennar	Sinja;Sennar al-Madina,Сеннар,Mok-waar	13.5424054	33.6103555	135581	city	node/321438810
مفرق سنار	Sennar Junction		13.5692729	33.5638353		town	node/321439070
ربك	Rabak		13.1844655	32.7398062	152711	city	node/321439793
شمال كردفان	North Kurdufan State	North Kordufan,North Kurdufan State شمال كردفان,Nord-Kurdufan,Kordofan du Nord,Северный Кордофан	15	29.9999999	1400000	state	node/321446174
البحر الأحمر	Red Sea State	Red Sea State البحر الأحمر,Rotes Meer,Mar Rojo,Mer Rouge,Mar Rosso,Mar Vermelho,Красное море,Röda havet	20	36	695874	state	node/321446175
القضارف	Al Qadarif State	Gedarif;Al Qadarif;Gadarif;Gedaref;Gederaf,Al Qadarif State القضارف,al-Qadarif,Al Qadarif,Гедареф	13.9758355	35.0850849	1400000	state	node/321446176
النيل الأبيض	White Nile State	Weißer Nil,Nil Blanc,Белый Нил	12.5	32.5	1400000	state	node/321446178
	West Kurdufan State	"NA"	12	28.5		historical_state	node/321446185
النيل الأزرق	Blue Nile State	An Nil al Azraq,النيل الأزرق Blue Nile State,Blauer Nil,Nil Bleu,Kék Nílus,Голубой Нил,Al Wilāyah al Wusţá,Zentral,Central State	11.9566972	34.122894		state	node/321446195
غرب دارفور	West Darfur State	West Darfur State غرب دارفور,West-Darfur,Darfour-Occidental,West Darfur,Западный Дарфур	13.4263009	22.6574884	1007000	state	node/321446198
ولاية نهر النيل	River Nile State	an Nīl, Nahr an Nīl,River Nile State ولاية نهر النيل,Nilfluss,Nil,Нил,Nilen	17.9984928	34.055823	9e+05	state	node/321446199
جنوب دارفور	South Darfur State	Dārfūr al Janūbīyah, Janūb Dārfūr,South Darfur State جنوب دارفور,Süd-Darfur,Darfour du Sud,Южный Дарфур	11	25		state	node/321446200
جنوب كردفان	South Kurdufan State	South Kordufan,South Kurdufan State جنوب كردفان,Süd-Kurdufan,Kordofan du Sud,Южный Кордофан	11	31	1100000	state	node/321446201
الشمالية	Northern State	الشمالية Northern State,Norden,Nord,Северный	19	30	6e+05	state	node/321446203
شمال دارفور	North Darfur State	North Darfur State شمال دارفور,Nord-Darfur,Darfour du Nord,Северный Дарфур	16	26	1583000	state	node/321446204
سنار	Sennar State	Sennar State سنار,Sannar,Сеннар	13	33.5	1100000	state	node/321446206
الخرطوم	Khartoum State	Khartum,Khartoum,Xertûm,Хартум	15.8359108	32.7476658	4700000	state	node/321446208
كسل	Kassala State	Kassala State كسل,Kassala,Кассала,Al Wilāyah ash Sharqīyah	16.0431989	36.0181112	1400000	state	node/321446209
	Wadi Al-Malik		18.2117005	30.7139936		locality	node/321458660
كتم	Kutum	Wadi Kutum	14.20312	24.661729	45000	city	node/321459449
طويلة	Tawilah		13.513868	24.8612293		town	node/321474738
زالنجي	Zalingei		12.9134096	23.4738132	27258	city	node/321481872
كاس	Kas		12.5058244	24.2859432		city	node/321484289
بابنوسة	Babanusah		11.3305456	27.8095803		city	node/321502878
المجلد	Muglad		11.0323699	27.7545176		city	node/321503273
السودان	Sudan	Soedan,ሱዳን,Sudán,sudan,Судан,Sudaŋ,সুদান,སུ་དཱན།,Soudan,ᏑᏕᏂ,Súdán,སུ་ཌཱན,Sudan nutome,Σουδάν,Sudano,Sudaan,سودان,Norðursudan,Sûdan,An tSúdáin,સુદાન,Yn Toodaan,Sudana,סודן,सूडान,Szudán,Սուդան,Súdan,スーダン,სუდანი,Sudani,ស៊ូដង់,ಸೂಡಾನ್,수단,سوٗڈان,der Sudahn,Sudania,Sudaani,Soedaan,Sudá,ຊູດານ,Sudanas,Sudāna,Sodan,സുഡാൻ,सुदान,ဆူဒန်,सुडान,ସୁଦାନ୍,Sudão,Davvisudan,Sudäan,සූඩානය,Suudaan,சூடான்,సుడాన్,ประเทศซูดาน,Sūteni,ma Sutan,سوڈان,Sudän,Orílẹ́ède Sudani,苏丹,Sūdān,i-Sudan,جمهورية السودان,Рэспубліка Судан,Republik Soudan,Δημοκρατία του Σουδάν,Republic of Sudan,Respubliko Sudano,Sudaani Vabariik,République du Soudan,Republik Sudan,Komara Sûdanê,Sudano Respublika,República do Sudão,Republica Sudan,Республика Судан,Република Судан,Republiken Sudan,Republika ng Sudan,Cộng hòa Sudan	14.5844444	29.4917691	39379358	country	node/424297973
الدانج	Dilling	الدلنج	12.0315831	29.6516649	59089	city	node/576348786
	Abu Sufyan		11.8937546	26.401794		town	node/667976356
	El Fuwela/Bueda		11.7756419	26.5135456		town	node/667976361
	Kafran Kualah		11.8065611	26.4167285		town	node/667976372
	El Sahab		11.7427024	26.3976741		town	node/667976374
	Badi		11.7042119	26.4551807		town	node/667976375
	Wad Belal		11.6860574	26.519897		town	node/667976377
	Hamouda		11.7237099	26.5569759		town	node/667976380
	Jabrona		11.7731211	26.6704441		town	node/667976382
	Kunjari		11.7448872	26.6793704		town	node/667976384
	Dalil Dokhry		11.8354607	26.7466617		town	node/667976400
	Monjar		11.8270599	26.8221927		town	node/667976404
	Futaha		11.7647185	26.8836475		town	node/667976437
	Shaq El Leyoun		11.8238676	26.9619251		town	node/667976469
هبيلة	Habila		12.6815542	22.5593433		town	node/696839744
	For Baranga		12.1241034	22.6080951		town	node/696840765
البيضاء‎‎	Beida		12.7123675	21.8920955		town	node/696842412
	Gobe		12.4416195	22.4532565		town	node/696850923
	Um Sangamti		12.4473189	22.5045833		village	node/696851626
	Abu Dahiya		12.7036598	22.4905071		village	node/696852241
	Tawang		12.7982565	22.4093112		village	node/696854181
	Sawani		12.8821083	22.3930034		village	node/696854923
الجديدة	Jedida		12.7862037	22.3449382		village	node/696856122
أرارا	Arara		12.7304518	22.1658954		town	node/696856666
	Masmaja		12.7759918	22.5171146		village	node/696857442
	Ior		12.6102004	22.6384792		village	node/696858055
	Sala		12.5203937	22.6673183		village	node/696858372
	Mangarsa		12.4049059	22.6779613		village	node/696859320
	Jimeza Nabakaya		12.0630054	22.5117931		village	node/696860429
	Haja Bakar		12.1387045	22.5109348		village	node/696861338
	Kasha		12.3852897	22.4439868		village	node/696865914
	Tundosa		12.3066423	22.4644145		village	node/696871484
دنقناب	Dunqunab		21.1050972	37.1184721		village	node/704031042
وادي حسمة عمر	Wadi Hesmet Omar	Wâdi Hesmet Omar, Wadi Hesmet Omar, Wadi Hismet Umar	21.783333	33.083333		locality	node/767969921
وادي الصحابة	Wadi al Sahabah	Wādī aş Şaḩābah, Wadi al Sahabah	22	31.366667		locality	node/768073825
نصب الهدرينة	Nusb al Hidirina	Nuṣb el-Hidirîna, Nusb al Hidirina	22	32.616667		locality	node/768074096
النوبة	Nubia	Nubia, Nubia,Nubie	20	32		region	node/768807730
فديمين القبلية	Fidimin al Qibliya	Fidîmîn el Qiblîya, Fidimin al Qibliya	20.383333	30.766667		hamlet	node/768807731
عتباي	Atbay	‘Atbāy, Atbay	22	35		region	node/768807825
العمارات	Amarat	العمارات Amarat,New Extension	15.5728003	32.5475348		suburb	node/952665742
المنشية	Manshiya		15.5941744	32.5796123		suburb	node/952665745
حي المطار	Hay al-Mataar		15.5977034	32.54289		suburb	node/981596171
امتداد ناصر	Nasir Extension		15.5917419	32.5654633		suburb	node/981596177
الديم	Diyum	Deims,الديوم	15.5727773	32.53391		suburb	node/981626829
السجانة	ALsajana		15.5777016	32.5268209		suburb	node/981641128
الحلة الجديدة	Hillat al-Jadida		15.5719703	32.5203732		suburb	node/981641131
المنطقة الصناعية الخرطوم	Light Industrial Area	Zone industrielle légère	15.5840229	32.5181818		suburb	node/981641135
الرياض	Riyadh		15.5835188	32.5677069		suburb	node/995288255
	Hay al-Safa		15.5910229	32.5593811		suburb	node/995288261
	Umara		15.6356207	32.4829743		suburb	node/995378723
	Masalama		15.6534618	32.4883807		suburb	node/995392527
	Hay al Arab		15.6539159	32.4820444		suburb	node/995392547
	Wad Nubawi		15.6560136	32.4920354		suburb	node/995392552
مايو	Mayo		15.4836158	32.549376		suburb	node/1100613539
كافوري 8	Kafouri 8	كافوري	15.635426	32.5776975		suburb	node/1107456718
سوبا اللعوتة			15.4926512	32.6300767		suburb	node/1137250434
سوبا غرب	Soba West		15.5026721	32.6450635		suburb	node/1137250435
	Gebel Belesagado		10.86667	34.95		locality	node/1150885878
	Herguanga		11.55	35.08333		locality	node/1150886637
	Ze`Ilan Wenz		10.31667	34.18333		locality	node/1150903241
	Bumbode		11.23333	34.95		locality	node/1150904733
	El Begaiya		12.66667	35.7		locality	node/1150908663
	Bolbole Wenz		10.53333	34.28333		locality	node/1150917047
	Zair		12.65	35.68333		locality	node/1150920482
	Komesha Shet'		10.41667	34.25		locality	node/1150934822
	Ganeberri		10.73333	34.78333		locality	node/1150936818
	Jebel Belangashe		10.8	34.86667		locality	node/1150947576
	Jabal Oss		10.05	34.23333		locality	node/1150973472
	Casciangaro		10.9	34.6		locality	node/1151004669
حي القوز	Gooz		15.5696915	32.5149256		suburb	node/1246405898
	Rumiela		15.57001	32.5084725		suburb	node/1246405899
	Jeref West		15.5694263	32.58181		suburb	node/1246409436
اركويت	Arkaweet		15.5589542	32.5701715		suburb	node/1246409437
	Jabra		15.5269748	32.5147122		suburb	node/1246409439
	Garden City		15.6109328	32.5669111		suburb	node/1272551131
	Umm Baddah		15.6527206	32.4381441		suburb	node/1272567929
الخرطوم ١	Khartoum 1	الخرطوم 1	15.5901543	32.5414206		suburb	node/1405605485
المعمورة	Maamoura		15.5452588	32.5759243		suburb	node/1410710400
الطائف	Al Taif		15.5672228	32.5707987		suburb	node/1410710401
	Abbas Island		13.3272393	32.6084878		island	node/1541500059
	Karari		15.7936066	32.5303962		village	node/1580700723
مروي	Merowe		18.4811972	31.8171688	10000	city	node/1620604084
ارقو	Argo		19.5269115	30.4203725	7716	town	node/1789680555
الكرمك	Al Kurumuk	al Kurumuk	10.556617	34.2849452		town	node/1795209723
	Dalil Babikir		11.8472324	26.6698306		town	node/1820997112
	Niser		20.3572975	30.5068861		village	node/1834967844
مليط	Mellit	Malit	14.1394199	25.5504429		city	node/1870260644
الخرطوم 2	Khartoum 2		15.5901497	32.535677		suburb	node/1870728179
نادي الاسرة			15.5871428	32.5277806		suburb	node/1870728180
وسط مدينة	Downtown		15.6023198	32.5266471		suburb	node/1875207300
امري الجديدة القرية 3			18.1072618	31.6282551		village	node/1886583995
	Al-Madina Arab		14.3595329	33.310028		town	node/1888319953
دلقو	Delgo		20.119244	30.559885		town	node/1895872571
أبو جبيهة	Abu Jibeha	Abu-Gebeiha,Абу-Губейха	11.4646721	31.2339838		city	node/1895967608
كبكابية	Kebkabiya	Kebkebiya,كبكابية (Kebkabiya)	13.650321	24.0902512		town	node/1911154943
أبو حمد	Abu Hamad		19.5378928	33.3248471		city	node/1950229972
كريمة	Karima		18.545128	31.847617		town	node/1956274629
واوا	Wawa		20.4847488	30.3304959		village	node/1958037325
عبري	Abri		20.7930384	30.3406751	40000	city	node/1958038093
كرمة	Kerma		19.593098	30.4091017		city	node/1958047978
كبدي	Kabodu		19.7282684	30.3844337		village	node/1958080920
ابو فاطمة	Abu Fatma	اشكان,أشكان	19.6877621	30.4046384		village	node/1958085269
	Elkumor		14.2816875	33.3956827		village	node/1968423445
أم بادر	Umm Badr		14.23656	27.938155		town	node/1971661697
اللعيت جارالنبى	Ailliet		11.9596801	27.0482686		town	node/1977579557
أم كدادة	Umm Kadadah		13.6002208	26.6892786		town	node/1977584722
الدويم	Ed Dueim		13.997187	32.30946		city	node/1977780575
أم درمان	Omdurman	Omdurmán,Omdourman,Омдурман	15.6445536	32.4777311	2395159	city	node/1980789690
	Sigili		13.3773495	25.6343676		village	node/2004479946
الموردة	Al-Murada		15.6291316	32.4880867		suburb	node/2030895241
	Al-Omda		15.6597847	32.4869682		suburb	node/2030895248
	Arda South	"NA"	15.6383043	32.4711936		suburb	node/2030895249
	Beit al-Mal	"NA"	15.6497815	32.4982781		suburb	node/2030895251
	Wad al-Bana	"NA"	15.654531	32.4979225		suburb	node/2030895252
	Omdurman Industrial Area	"NA"	15.6645371	32.4674363		suburb	node/2030895253
	Kasakana		19.9456759	30.4172218		village	node/2045158918
توندي			20.2935364	30.5738615		village	node/2045158940
	Unknown		20.2561875	30.5723321		village	node/2045158966
	Unknown		20.3226235	30.5379815		village	node/2045159085
	Unknown		20.3420619	30.5195112		village	node/2045159094
	Unknown		20.4106642	30.3503878		village	node/2045159096
الحفير	Hafir		19.5935138	30.3641262		village	node/2045245603
	Koya		20.340739	30.3872513		village	node/2045308555
تمبس	Tumbus	Toumbous	19.7105982	30.3966945		village	node/2045308599
كجبار	Kagbar		19.9451844	30.5310713		village	node/2046694684
دفوي	Defoi		19.9468334	30.4552003		village	node/2046719657
قرقود	Gorgod		20.1590864	30.5482636		village	node/2046794370
حميد	Hamid		20.6459944	30.2981027		village	node/2046794371
كوكا	Koka		20.0379169	30.5754594		village	node/2046794552
سيسة	Sese		20.1234552	30.548278		village	node/2046794594
مركول تبج			19.9519791	30.3320215		village	node/2047277627
طوكر	Tokar	Tawkar,Токар	18.4303582	37.7339322		town	node/2050431482
ود مزمل	Wad Muzammil		14.2642892	36.539718		town	node/2050780659
	Akasha		21.0829565	30.7084659		village	node/2052101195
جبل اولياء	Jebel Aulia		15.244386	32.509082		town	node/2056566800
واحة سليمة	Oasis Salima		21.3685578	29.3158018		locality	node/2072860266
دندرو	Dindiro		11.4676512	34.1684771		village	node/2075327576
	Baluul		11.6618225	29.2455211		village	node/2076077875
	Mariyam		11.6644273	29.2205703		village	node/2076077894
	Thuma		11.6830931	29.2215668		village	node/2076078101
	As Salamat		12.5951254	30.3506592		town	node/2082551486
توداج		"NA"	9.7347526	28.473029		village	node/2082554596
	Al Thawra 5		15.6814486	32.4885406		neighbourhood	node/2084480909
	Meriam	"NA"	10.1464796	27.689925		town	node/2090839794
	War Guit		9.8239705	27.5220694		village	node/2090866452
أم دخن	Um Dukhan		11.1381512	22.9640183		town	node/2096690140
	Murnei		12.9497506	22.8729194		town	node/2104175124
الكلاكلة القبة			15.4697065	32.4687914		town	node/2105691425
	Ghaliya		15.8040012	32.4114167		suburb	node/2107205846
	Al Busta South	"NA"	15.6435489	32.4809834		suburb	node/2107828778
	Arda North	"NA"	15.6449246	32.4731657		suburb	node/2107828779
