arab	engl	desc	info	phon	line
ﻋﺎﺏ	to blame	vt	i, ʿeeb	ʿaab	ʿaab ‫ ﻋﺎﺏ‬vt (i, ʿeeb) to blame
ﻋﺎﺩﻯ	to be hostile to	vt	NA	ʿaada	ʿaada ‫ ﻋﺎﺩﻯ‬vt 1 (-i, muʿaadaa) to be hostile to 2 (-i, ʿadwa) to infect
ﻋﺎﺩﻯ	to infect	vt	NA	ʿaada	ʿaada ‫ ﻋﺎﺩﻯ‬vt 1 (-i, muʿaadaa) to be hostile to 2 (-i, ʿadwa) to infect
ﻋﺎﺩﺓ	custom, habit; al-ʿaada menstruation	n	pl -aat, ʿawaayid	ʿaada	ʿaada ‫ ﻋﺎﺩﺓ‬n (pl -aat, ʿawaayid) custom, habit; al-ʿaada menstruation
ﻋﺎﺩل	to counterbalance	vt	muʿaadala	ʿaadal	ʿaadal ‫ ﻋﺎﺩل‬vt (muʿaadala) to counterbalance
ﻋﺎﺩﺓ	usually	adv	NA	ʿaadatan	ʿaadatan ‫ ﻋﺎﺩﺓ‬adv usually
ﻋﺎﺩﻱ	normal, usual, ordinary, common, customary	adj	NA	ʿaadi	ʿaadi ‫ ﻋﺎﺩﻱ‬adj normal, usual, ordinary, common, customary
ﻋﺎﺩل	just, fair	adj	NA	ʿaadil	ʿaadil ‫ ﻋﺎﺩل‬adj just, fair
ﻋﺎﺩﻡ	exhaust-pipe	n	pl ʿawaadim	ʿaadim	ʿaadim ‫ ﻋﺎﺩﻡ‬n (pl ʿawaadim) exhaust-pipe
ﻋﺎﻑ	to loathe	vt	i, ʿuwaafa	ʿaaf	ʿaaf ‫ ﻋﺎﻑ‬vt (i, ʿuwaafa) to loathe
ﻋﺎﻓﻰ	min to be happy with, proud of	vi	-i, ʿafu	ʿaafa	ʿaafa ‫ ﻋﺎﻓﻰ‬vi (-i, ʿafu) min to be happy with, proud of • vt (-i, muʿaafaa) (of God) to cure, heal
ﻋﺎﻓﻰ	(of God) to cure, heal	vt	-i, muʿaafaa	ʿaafa	ʿaafa ‫ ﻋﺎﻓﻰ‬vi (-i, ʿafu) min to be happy with, proud of • vt (-i, muʿaafaa) (of God) to cure, heal
