TAG		EXPLANATION
N		NOUNS
B-NE    NAMED ENTITIES
I-NE  	NAMED ENTITIES
B-DAY   DAY
B-MONTH MONTHS
I-MONTH MONTHS
NM		NUMBERS
NQ		QUANTIFIERS
PRO		PRONOUNS
DM		DEM. PRONOUNS
REL		REL. PRONOUNS
T		TIME ADVERB
LC		LOCATION ADVERB
AV		ADVERB
AJ		ADJECTIVE
AJNM	NUMERICAL ADJECTIVE
AJCMP	COMPARATIV ADJECTIVE
V		VERB
IMPV	IMPERATIVE VERB
PVP		PASSIVE VOICE VERB
D		DEFINITE ARTICLE
C		CONJUNCTION
P		PREPOSITION
Q		INTTERROGATIVE PARTICLE
COND	CONDITIONAL
IJ		ANSWERPARTICLE
NEG		NEGATION PARTICLE
FUT		FUTURE PARTICLE
SUB		SUBORDINATING PARTICLE
ACC		ACCUSATIVE PARTICLE
IMPV	IMPERATIVE PREFIX
RES		RESTRICTION PARTICLE
VOC		VOCATIVE PARTICLE
EXL		EXPLANATION PARTICLE
EXP		EXCEPTIVE PARTICLE
SUR		SURPRISE PARTICLE
EMPH 	EMPHATIC PARTICLE
CERT	CERTAINTITY PARTICLE
PRP		PURPOSE PARTICLE
RET 	RETRACTION PARTICLE
PR		PROHIBITION PARTICLE
INT		INTERPRETATION PARTICLE
PREV	PERVENTIVE PARTICLE
SUP		SUPLEMENTALPARTICLE
REM		RESUMPTION PARTICLE
CAUS	CAUSAL PARTICLE
AB		ABBREVIATION
PX		PUNCTUATION
