term	cat
truce	CEASEFIRE
armistice	CEASEFIRE
cease-fire	CEASEFIRE
ceasefire	CEASEFIRE
cease fire	CEASEFIRE
negotiation	NEGOTIATION
dialogue	NEGOTIATION
discussion	NEGOTIATION
mediation	MEDIATION
arbitration	MEDIATION
conciliation	MEDIATION
proposal	PROPOSAL
proposition	PROPOSAL
suggestion	PROPOSAL
proffer	PROPOSAL
motion	PROPOSAL
detention	DETENTION
detainment	DETENTION
jail	DETENTION
prison	DETENTION
penitentiary	DETENTION
concentration camp	DETENTION
custody	DETENTION
confinement	DETENTION
dispute	DISPUTE
conflict	DISPUTE
quarrel	DISPUTE
controversy	DISPUTE
contention	DISPUTE
contestation	DISPUTE
disputation	DISPUTE
argument	DISPUTE
arguing	DISPUTE
difference	DISPUTE
difference of opinion	DISPUTE
differences of opinion	DISPUTE
disagreement	DISPUTE
dissidence	DISPUTE
dissension	DISPUTE
contravention	DISPUTE
struggle	FIGHT
battle	FIGHT
fight	FIGHT
fighting	FIGHT
strife	FIGHT
war	FIGHT
warfare	FIGHT
feud	FIGHT
combat	FIGHT
hostilities	FIGHT
belligerency	FIGHT
reprisal	RETALIATION
retaliate	RETALIATION
retaliation	RETALIATION
revenge	RETALIATION
avenge	RETALIATION
strike back	RETALIATION
tit for tat	RETALIATION
atrocity	ID ATROCITY
genocide	ID ATROCITY
ethnic cleansing	ID ATROCITY
ethnic purge	ID ATROCITY
ethnic purge	ID ATROCITY
war crime	ID ATROCITY
crime against humanity	ID ATROCITY
massacre	ID ATROCITY
massacre	ID ATROCITY
arms trade	ID ARMS DEAL
arms sale	ID ARMS DEAL
arms deal	ID ARMS DEAL
weapons sale	ID ARMS DEAL
weapons deal	ID ARMS DEAL
weapons shipment	ID ARMS DEAL
weapons cargo	ID ARMS DEAL
arms cargo	ID ARMS DEAL
arms shipment	ID ARMS DEAL
missile sale	ID ARMS DEAL
missile shipment	ID ARMS DEAL
cargo of weapon	ID ARMS DEAL
cargo of arm	ID ARMS DEAL
shipment of weapon	ID ARMS DEAL
shipment of arm	ID ARMS DEAL
water cannon	VIOLENT UNREST
tear gas	VIOLENT UNREST
rubber bullet	VIOLENT UNREST
smoke grenade	VIOLENT UNREST
stun grenade	VIOLENT UNREST
angry mob	VIOLENT UNREST
clash with police	VIOLENT UNREST
