term	cat
president	LEADER
governor	LEADER
dictator	LEADER
ruler	LEADER
prime minister	LEADER
queen	LEADER
king	LEADER
sultan	LEADER
minister	LEADER
hostage	HOSTAGE
prisoner	HOSTAGE
captive	HOSTAGE
negotiator	NEGOTIATOR
mediator	NEGOTIATOR
go-between	NEGOTIATOR
intermediator	NEGOTIATOR
intermediary	NEGOTIATOR
intercessor	NEGOTIATOR
refugee	REFUGEE
expatriate	REFUGEE
displaced person	REFUGEE
stateless person	REFUGEE
exile	REFUGEE
military	MILITARY
armed forces	MILITARY
armed services	MILITARY
army	MILITARY
ground forces	MILITARY
marines	MILITARY
reserves	MILITARY
troops	MILITARY
navy	MILITARY
special forces	MILITARY
soldiers	MILITARY
servicemen	MILITARY
paratroopers	MILITARY
infantrymen	MILITARY
servicemembers	MILITARY
combat brigades	MILITARY
battalions	MILITARY
brigades	MILITARY
opposition	OPPOSITION
resistance	OPPOSITION
opponent	OPPOSITION
enemy	OPPOSITION
foe	OPPOSITION
adversary	OPPOSITION
rival	OPPOSITION
challenger	OPPOSITION
contender	OPPOSITION
people	PEOPLE
folk	PEOPLE
poor	PEOPLE
rich	PEOPLE
wealthy	PEOPLE
populace	PEOPLE
public	PEOPLE
population	PEOPLE
populations	PEOPLE
citizenry	PEOPLE
followers	PEOPLE
masses	PEOPLE
civilians	PEOPLE
voters	PEOPLE
citizens	PEOPLE
nationals	PEOPLE
subjects	PEOPLE
suspect	SUSPECT
accused	SUSPECT
defendant	SUSPECT
peacekeeping	PKO
peacekeeper	PKO
peace-keeping	PKO
peace-keeper	PKO
un peacekeepers	PKO
peacekeeping force	PKO
blue helmets	PKO
peacekeeping contingent	PKO
buddhist student	BUDEDU
buddhist warrior	BUDUAF
agrobusiness	BUSAGR
arms industry	BUSMIL
anglican	CHRPRO
archpriest	CHRCTH
catholic bishop	CHRCTH
catholic missionary	CHRCTH
catholic monastary	CHRCTH
catholic monk	CHRCTH
catholic priest	CHRCTH
catholic saint	CHRCTH
christian clergy	CHRCTH
hierarch	CHRCTH
high priest	CHRCTH
maronite	CHRMAR
methodist church	CHRPRO
prelate	CHRCTH
protestant missionary	CHRPRO
unitarian	RELCHR
deparment of environment	ENV}
advocate general	GOVJUD
agriculture and irrigation ministry	GOVAGR
agriculture minister	GOVAGR
agriculture secretary	GOVAGR
animal husbandry and aquatics minister	GOVAGR
bank control department	GOVBUS
border trade department	GOVBUS
broadcast minist	GOVMED
bureau of special investigation	GOVCOP
bureau of special operations	GOVSPY
central bank	GOVBUS
central bank governor	GOVBUS
chief of defence staff	GOVMIL
civil defense department	GOVMIL
civil defense minist	GOVMIL
civil defense secretary	GOVMIL
communications bureau	GOVMED
construction minist	GOVDEV
defence minist	GOVMIL
defence secretary	GOVMIL
defense department	GOVMIL
defense minist	GOVMIL
defense secretary	GOVMIL
defense services	GOVMIL
department of agriculture	GOVAGR
department of bank control	GOVBUS
department of border trade	GOVBUS
department of civil defense	GOVMIL
department of commerce	GOVBUS
department of defense	GOVMIL
department of education	GOVEDU
department of environment	GOVENV
department of the environment	GOVENV
department of environmental quality	GOVENV
dept of agriculture	GOVAGR
development council	GOVDEV
director of defence services intelligence	GOVMIL
education department	GOVEDU
education minist	GOVEDU
education official	GOVEDU
education secretary	GOVEDU
environment minist	GOVENV
executive department	GOVMIL
fisheries and livestock minist	GOVAGR
government employer	GOVBUS
government lawmaker	GOVPTY
government run firm	GOVBUS
health and family minist	GOVHLH
health department	GOVHLH
health minist	GOVHLH
health official	GOVHLH
health personnel	GOVHLH
higher education minist	GOVEDU
home and religious affairs minist	GOVREL
human rights commission	GOVHRI
information committee	GOVMED
information office	GOVMED
inspector general	GOVCOP
labor department	GOVLAB
labor secretary	GOVLAB
livestock authorit	GOVAGR
medical official	GOVHLH
military dictator	GOVMIL
military government	GOVMIL
military junta	GOVMIL
military regime	GOVMIL
military rule	GOVMIL
national airline	GOVBUS
national bank	GOVBUS
national development council	GOVDEV
national economic council	GOVBUS
national education committee	GOVEDU
national health committee	GOVHLH
national investment committee	GOVBUS
national news agency	GOVMED
national nutritional council	GOVHLH
national security adviser	GOVMIL
national security advisor	GOVMIL
national security chief	GOVMIL
national security council	GOVMIL
national security office	GOVMIL
official news agency	GOVMED
patent office	GOVBUS
people's bank	GOVBUS
peoples bank	GOVBUS
privatization commission	GOVBUS
privitization commission	GOVBUS
prosecutor general	GOVJUD
public health chief	GOVHLH
public service commission	GOVDEV
religious affairs bureau	GOVREL
reserve bank	GOVBUS
reserve bank governor	GOVBUS
ruling alliance	GOVPTY
ruling general	GOVMIL
ruling military government	GOVMIL
secretary of agriculture	GOVAGR
secretary of defense	GOVMIL
secretary of education	GOVEDU
secretary of labor	GOVLAB
secretary of labour	GOVLAB
securities and exchange commission	GOVBUS
state-owned	GOVBUS
state-owned media	GOVMED
state-owned news agency	GOVMED
state-owned television	GOVMED
state development council	GOVDEV
state general hospital	GOVHLH
state hospital	GOVHLH
state media	GOVMED
state news agency	GOVMED
state owned enterprise	GOVBUS
state owned industrial unit	GOVBUS
state owned insurance enterprise	GOVBUS
state prosecutor general	GOVJUD
state run television	GOVMED
