term	cat
money	currency
currency	currency
cash	currency
afghani	currency
austral	currency
baht	currency
balboa	currency
birr	currency
bitcoin	currency
bolivar	currency
cedi	currency
dalasi	currency
dinar	currency
dirham	currency
dollar	currency
dong	currency
dobra	currency
euro	currency
eurodollar	currency
escudo	currency
conto	currency
forint	currency
gourde	currency
guarani	currency
guilder	currency
gulden	currency
florin	currency
inti	currency
kina	currency
kip	currency
koruna	currency
krona	currency
krone	currency
kroner	currency
kroon	currency
kwacha	currency
kwai	currency
kwanza	currency
kyat	currency
lek	currency
lempira	currency
leone	currency
leu	currency
lev	currency
lilangeni	currency
lira	currency
loti	currency
metical	currency
naira	currency
ngultrum	currency
ouguiya	currency
pa'anga	currency
pataca	currency
boliviano	currency
cordoba	currency
peso	currency
pound	currency
pula	currency
quetzal	currency
rand	currency
rial	currency
riel	currency
ringgit	currency
riyal	currency
ruble	currency
rouble	currency
dram	currency
manat	currency
rubel	currency
lari	currency
tenge	currency
lats	currency
litas	currency
som	currency
hryvina	currency
rupee	currency
rupiah	currency
renminbi	currency
shekel	currency
shilling	currency
sucre	currency
taka	currency
tala	currency
tical	currency
tugrik	currency
tughrik	currency
won	currency
yen	currency
yuan	currency
zloty	currency
argument	fight_of_words
disagreement	fight_of_words
debate	fight_of_words
president	leader
governor	leader
dictator	leader
ruler	leader
prime minister	leader
queen	leader
king	leader
sultan	leader
minister	leader
stronghold	stronghold
bastion	stronghold
citadel	stronghold
blockhouse	stronghold
redoubt	stronghold
fort	stronghold
outpost	stronghold
headquarters	stronghold
truce	ceasefire
armistice	ceasefire
cease-fire	ceasefire
ceasefire	ceasefire
cease fire	ceasefire
car	car
sedan	car
vehicle	car
auto	car
automobile	car
motorcar	car
truck	car
van	car
lorry	car
hostage	hostage
prisoner	hostage
captive	hostage
negotiator	negotiator
mediator	negotiator
go-between	negotiator
intermediator	negotiator
intermediary	negotiator
intercessor	negotiator
negotiation	negotiation
dialogue	negotiation
discussion	negotiation
mediation	mediation
arbitration	mediation
conciliation	mediation
proposal	proposal
proposition	proposal
suggestion	proposal
proffer	proposal
motion	proposal
refugee	refugee
expatriate	refugee
displaced person	refugee
stateless person	refugee
exile	refugee
treaty	treaty
pact	treaty
accord	treaty
written agreement	treaty
agreement	treaty
program	program
programme	program
outline	program
schema	program
scheme	program
agenda	program
detention	detention
detainment	detention
jail	detention
prison	detention
penitentiary	detention
concentration camp	detention
custody	detention
confinement	detention
military	military
armed forces	military
armed services	military
army	military
ground forces	military
marines	military
reserves	military
troops	military
navy	military
special forces	military
soldiers	military
servicemen	military
paratroopers	military
infantrymen	military
servicemembers	military
combat brigades	military
battalions	military
brigades	military
security	security
secureness	security
protection	security
precaution	security
safeguard	security
opposition	opposition
resistance	opposition
opponent	opposition
enemy	opposition
foe	opposition
adversary	opposition
rival	opposition
challenger	opposition
contender	opposition
town	town
municipality	town
borough	town
township	town
city	town
metropolis	town
urban center	town
urban area	town
