name	normalname	country	latitude	longitude	population
les Escaldes	les Escaldes	AD	42.50729	1.53414	15853
Andorra la Vella	Andorra la Vella	AD	42.50779	1.52109	20430
Umm al Qaywayn	Umm al Qaywayn	AE	25.56473	55.55517	44411
Ras al-Khaimah	Ras al-Khaimah	AE	25.78953	55.9432	115949
Khawr Fakkān	Khawr Fakkān	AE	25.33132	56.34199	33575
Dubai	Dubai	AE	25.0657	55.17128	1137347
Dibba Al-Fujairah	Dibba Al-Fujairah	AE	25.59246	56.26176	30000
Dibba Al-Hisn	Dibba Al-Hisn	AE	25.61955	56.27291	26395
Sharjah	Sharjah	AE	25.33737	55.41206	543733
Ar Ruways	Ar Ruways	AE	24.11028	52.73056	16000
Al Fujayrah	Al Fujayrah	AE	25.11641	56.34141	62415
Al Ain	Al Ain	AE	24.19167	55.76056	408733
Ajman	Ajman	AE	25.41111	55.43504	226172
Adh Dhayd	Adh Dhayd	AE	25.28812	55.88157	24716
Abu Dhabi	Abu Dhabi	AE	24.46667	54.36667	603492
Zaranj	Zaranj	AF	30.95962	61.86037	49851
Taloqan	Taloqan	AF	36.73605	69.53451	64256
Shīnḏanḏ	Shīnḏanḏ	AF	33.30294	62.1474	29264
Shibirghān	Shibirghān	AF	36.66757	65.7529	55641
Shahrak	Shahrak	AF	34.10737	64.3052	15967
Sar-e Pul	Sar-e Pul	AF	36.21544	65.93249	52121
Sang-e Chārak	Sang-e Chārak	AF	35.84972	66.43694	15377
Aībak	Aībak	AF	36.26468	68.01551	47823
Rustāq	Rustāq	AF	37.12604	69.83045	25636
Qarqīn	Qarqīn	AF	37.41853	66.04358	15018
Qarāwul	Qarāwul	AF	37.21959	68.7802	24544
Pul-e Khumrī	Pul-e Khumrī	AF	35.94458	68.71512	56369
Paghmān	Paghmān	AF	34.58787	68.95091	49157
Nahrīn	Nahrīn	AF	36.0649	69.13343	22363
Maymana	Maymana	AF	35.92139	64.78361	75900
Mehtar Lām	Mehtar Lām	AF	34.67139	70.20944	17345
Mazār-e Sharīf	Mazār-e Sharīf	AF	36.70904	67.11087	303282
Lashkar Gāh	Lashkar Gāh	AF	31.59382	64.37161	43934
Kushk	Kushk	AF	33.29565	61.95221	16952
