name	normalname	country	latitude	longitude	population
Dongola	Dongola	SD	19.18163	30.47689	13473
Ciutat de Dongola	Dongola	SD	19.18163	30.47689	13473
DOG	Dongola	SD	19.18163	30.47689	13473
Donkola	Dongola	SD	19.18163	30.47689	13473
Donqola	Dongola	SD	19.18163	30.47689	13473
Dunkula	Dongola	SD	19.18163	30.47689	13473
Dunqula	Dongola	SD	19.18163	30.47689	13473
Dunqulah	Dongola	SD	19.18163	30.47689	13473
Dunqulā	Dongola	SD	19.18163	30.47689	13473
Gorad Dangola	Dongola	SD	19.18163	30.47689	13473
Nton'nkola	Dongola	SD	19.18163	30.47689	13473
dnqla	Dongola	SD	19.18163	30.47689	13473
dnqlh	Dongola	SD	19.18163	30.47689	13473
dong gu la	Dongola	SD	19.18163	30.47689	13473
dong-golla	Dongola	SD	19.18163	30.47689	13473
dongola	Dongola	SD	19.18163	30.47689	13473
dongora	Dongola	SD	19.18163	30.47689	13473
Ντόνγκολα	Dongola	SD	19.18163	30.47689	13473
Горад Дангола	Dongola	SD	19.18163	30.47689	13473
Донгола	Dongola	SD	19.18163	30.47689	13473
دنقلا	Dongola	SD	19.18163	30.47689	13473
دنقله	Dongola	SD	19.18163	30.47689	13473
डोंगोला	Dongola	SD	19.18163	30.47689	13473
ドンゴラ	Dongola	SD	19.18163	30.47689	13473
棟古拉	Dongola	SD	19.18163	30.47689	13473
동골라	Dongola	SD	19.18163	30.47689	13473
Zalingei	Zalingei	SD	12.90918	23.47058	28687
ZLX	Zalingei	SD	12.90918	23.47058	28687
Zalingee	Zalingei	SD	12.90918	23.47058	28687
Zalinjay	Zalingei	SD	12.90918	23.47058	28687
Zalinje	Zalingei	SD	12.90918	23.47058	28687
Zalinji	Zalingei	SD	12.90918	23.47058	28687
Zālinjī	Zalingei	SD	12.90918	23.47058	28687
zalnjy	Zalingei	SD	12.90918	23.47058	28687
zalnjy (mdynt)	Zalingei	SD	12.90918	23.47058	28687
Залингее	Zalingei	SD	12.90918	23.47058	28687
زالنجي	Zalingei	SD	12.90918	23.47058	28687
زالنجي (مدينة)	Zalingei	SD	12.90918	23.47058	28687
Wagar	Wagar	SD	16.1525	36.2032	11950
Wagga	Wagar	SD	16.1525	36.2032	11950
Wad Rāwah	Wad Rāwah	SD	15.16028	33.13972	10348
Hillet Sa`id	Wad Rāwah	SD	15.16028	33.13972	10348
Hillet Sa‘id	Wad Rāwah	SD	15.16028	33.13972	10348
Wad Rawa	Wad Rāwah	SD	15.16028	33.13972	10348
Wad Rawah	Wad Rāwah	SD	15.16028	33.13972	10348
Wad Rāwa	Wad Rāwah	SD	15.16028	33.13972	10348
Wad Medani	Wad Medani	SD	14.40118	33.51989	332714
DNI	Wad Medani	SD	14.40118	33.51989	332714
Medani	Wad Medani	SD	14.40118	33.51989	332714
Wad Madani	Wad Medani	SD	14.40118	33.51989	332714
wd mdny	Wad Medani	SD	14.40118	33.51989	332714
ود مدني	Wad Medani	SD	14.40118	33.51989	332714
Wad az Zāki	Wad az Zāki	SD	14.4619	32.2065	9271
Wad az Zaki	Wad az Zāki	SD	14.4619	32.2065	9271
Wad ez Zaki	Wad az Zāki	SD	14.4619	32.2065	9271
Umm Ruwaba	Umm Ruwaba	SD	12.9061	31.2158	55742
Um Ruaba	Umm Ruwaba	SD	12.9061	31.2158	55742
Um Ruwwaba	Umm Ruwaba	SD	12.9061	31.2158	55742
Um Ruwwāba	Umm Ruwaba	SD	12.9061	31.2158	55742
Umm Ruwabah	Umm Ruwaba	SD	12.9061	31.2158	55742
Umm Ruwābah	Umm Ruwaba	SD	12.9061	31.2158	55742
Umm Kaddadah	Umm Kaddadah	SD	13.60169	26.68759	10979
Um Kaddada	Umm Kaddadah	SD	13.60169	26.68759	10979
Umm Kaddādah	Umm Kaddadah	SD	13.60169	26.68759	10979
Umm Keddada	Umm Kaddadah	SD	13.60169	26.68759	10979
Um Jar Al Gharbiyya	Um Jar Al Gharbiyya	SD	13.8013	32.4078	9038
Umm Garr	Um Jar Al Gharbiyya	SD	13.8013	32.4078	9038
Umm Jarr	Um Jar Al Gharbiyya	SD	13.8013	32.4078	9038
Omdurman	Omdurman	SD	15.64453	32.47773	1200000
Omdoerman	Omdurman	SD	15.64453	32.47773	1200000
Omdourman	Omdurman	SD	15.64453	32.47773	1200000
Omdurmana	Omdurman	SD	15.64453	32.47773	1200000
Omdurmanas	Omdurman	SD	15.64453	32.47773	1200000
Omdurmán	Omdurman	SD	15.64453	32.47773	1200000
Omdurmāna	Omdurman	SD	15.64453	32.47773	1200000
Umm Durman	Omdurman	SD	15.64453	32.47773	1200000
Umm Durmán	Omdurman	SD	15.64453	32.47773	1200000
Umm Durmān	Omdurman	SD	15.64453	32.47773	1200000
am drman	Omdurman	SD	15.64453	32.47773	1200000
ama daramana	Omdurman	SD	15.64453	32.47773	1200000
en tu man	Omdurman	SD	15.64453	32.47773	1200000
omduleuman	Omdurman	SD	15.64453	32.47773	1200000
omdurman	Omdurman	SD	15.64453	32.47773	1200000
omdurmani	Omdurman	SD	15.64453	32.47773	1200000
omudo~uruman	Omdurman	SD	15.64453	32.47773	1200000
xxm de xr man	Omdurman	SD	15.64453	32.47773	1200000
Омдурман	Omdurman	SD	15.64453	32.47773	1200000
Омдурман қаласы	Omdurman	SD	15.64453	32.47773	1200000
אומדורמאן	Omdurman	SD	15.64453	32.47773	1200000
أم درمان	Omdurman	SD	15.64453	32.47773	1200000
ام درمان	Omdurman	SD	15.64453	32.47773	1200000
ਅਮ ਦਰਮਾਨ	Omdurman	SD	15.64453	32.47773	1200000
ออมเดอร์มาน	Omdurman	SD	15.64453	32.47773	1200000
ომდურმანი	Omdurman	SD	15.64453	32.47773	1200000
オムドゥルマン	Omdurman	SD	15.64453	32.47773	1200000
