nameEN	nameAR	altName	lat	lon	population	place	id
Khartoum	الخرطوم	Khartoem,ካርቱም,Xartum,Хартум,ཁར་ཏུམ།,C'hartoum,Kartum,خەرتووم,Chartúm,Khartum,Χαρτούμ,Ĥartumo,Jartum,Hartum,خارطوم,Kartûm,Cartúm,Khartún - الخرطوم,חרטום,खार्तूम,Kartoum,Kartúm,Խարթում,Cartum,ハルツーム,ხარტუმი,ಖಾರ್ತೂಮ್,하르툼,Xertûm,Khartumensis Urbs,Chartumas,Hartūma,Картум,खार्टूम,ခါတွမ်းမြို့,Khartom,Chartum,خرطوم,Khartuum,கர்த்தூம்,คาร์ทูม,خارتۇم,Al-Khartoum,喀土穆	32.53565	15.593325	2682431	city	node/27565117
Ganetti	قنتي		31.255919	17.9738607	NA	village	node/75553735
Al Dabbah	الدبة	El Debba,Ad-Dabba	30.95119	18.043988	52e3	city	node/75561491
Dongola	دنقلا	Dunqulah;Dunqula,Донгола,Al 'Urdi	30.4731589	19.1728506	13500	city	node/75562621
Dabak	دبك		32.5866564	16.1743104	NA	village	node/90093539
Goz Nafisah	NA		32.5853968	16.2034044	NA	village	node/90093776
Wad AlBasal	NA		32.6033076	16.2329943	NA	village	node/90094057
Qerri	NA		32.6248082	16.2303572	NA	village	node/90094971
Hillat ed Dareisa	NA		32.664934	16.1311106	NA	village	node/90096106
Wad Ramli	ود رملي		32.5703486	16.0992818	NA	village	node/90096121
AlNukhaylah	NA		32.5732668	16.1281423	NA	village	node/90096719
AlHakamab West	NA		32.5488909	16.1151144	NA	village	node/90097172
Hawawit East	NA		32.6980646	16.2666142	NA	village	node/90098113
Hawawit West	NA		32.6604708	16.3005579	NA	village	node/90099211
Al Miseiktab	NA		32.7018412	16.3392729	NA	village	node/90099550
Mideini	NA		32.728277	16.345862	NA	village	node/90099881
AlHuqnah	NA		32.6693328	16.3476328	NA	village	node/90100057
AlQuweiz	NA		32.7016695	16.3562392	NA	village	node/90100322
Hajar al Asal	NA		32.8429576	16.4695193	NA	village	node/90102509
Wad Hamid	NA		32.80192	16.484674	NA	village	node/90104994
El Basaber	NA		32.9446991	16.5166664	NA	village	node/90105507
Biryab	NA		32.9425104	16.5692625	NA	village	node/90106851
Salawa	NA		33.0885513	16.5465761	NA	village	node/90108362
AlZumah	NA		33.130823	16.5259854	NA	village	node/90108967
El Ghadoora	NA		33.1390627	16.506236	NA	village	node/90109077
Al Hawsh	NA		33.3248003	16.6469065	NA	village	node/90110842
Al Salluab	NA		33.2763918	16.6750283	NA	village	node/90111660
Shendi	شندي	Schandi	33.432286	16.6884963	NA	city	node/90112925
Al Matammah	NA		33.3569934	16.7095897	NA	village	node/90114371
NA	الشقالوة	NA	33.4586962	16.710709	NA	village	node/90115181
Hillat al Sheikh Al Tayiq	NA		33.5931071	16.7411228	NA	village	node/90116244
Taragma	NA		33.5415994	16.7425686	NA	town	node/90116658
Kabushiyah	كبوشية		33.6942156	16.8927902	NA	town	node/90118541
Hillat el Mashaykha	NA		33.6669214	16.8389071	NA	village	node/90118744
Qawz Burra	NA		33.6267527	16.8742285	NA	village	node/90119314
Hillat ed Darqab	NA		33.7099666	16.9322873	NA	village	node/90124760
Hillat el Karada	NA		33.7501772	17.326247	NA	village	node/90128919
Ageida	NA		33.7258013	17.2900277	NA	village	node/90129206
Gabati	NA		33.7666567	17.2031378	NA	village	node/90129651
Kiteiyab	NA		33.7168749	17.1736188	NA	village	node/90130013
Gabrab	NA		33.7000521	17.1498361	NA	village	node/90130354
ukabrabiya	NA		33.7048586	17.1196524	NA	village	node/90130936
Kimeir	NA		33.6689814	17.0953706	NA	village	node/90131023
Zeidab North	NA		33.8631304	17.4404303	NA	village	node/90132018
Zeidab East	NA		33.8804014	17.3985912	NA	village	node/90132660
Zeidab East	NA		33.8277682	17.4022679	NA	village	node/90133206
ad-Damer	الدامر	ad-Damir	33.9687021	17.583018	2e4	town	node/90135018
Atbara	عطبرة	Atbarah,Атбара	33.98073	17.690719	111399	city	node/90135276
Syyalah	NA		33.9040973	17.5330689	NA	village	node/90135840
Butri	NA		32.6969924	15.4664844	NA	village	node/90146993
Baqayr AlWarrani	NA		32.7351435	15.400752	NA	village	node/90148570
Al 'Aylafun	NA		32.7245005	15.4336833	NA	town	node/90149106
Baqayr al Quddami	NA		32.762781	15.3749328	NA	village	node/90149197
AlHudaybah	NA		32.7488764	15.4164736	NA	village	node/90149416
الجديد ١	NA	NA	32.7809771	15.3388468	NA	village	node/90150262
Jadid AlAtsha	NA		32.7852686	15.3128544	NA	village	node/90152102
Giad Industrial Complex	مدينة جياد الصناعية		32.8285273	15.3161657	NA	town	node/90152580
AlMasudiyah	NA		32.8647478	15.3070594	NA	village	node/90152968
AlNuba	NA		32.8983935	15.2908328	NA	village	node/90158058
Mahas Kutrang	NA		32.9342707	15.2878522	NA	village	node/90164530
Al Masid	NA		32.9747828	15.2560571	NA	village	node/90165330
Alti	NA		32.9986437	15.2504263	NA	village	node/90165802
Um Maghat	NA		33.032976	15.2439671	NA	village	node/90166336
AlTekeina	NA		33.0647333	15.2156439	NA	village	node/90166497
Bashaqra West	NA		33.0671366	15.1984163	NA	village	node/90166990
Bashaqra East	NA		33.0844744	15.2315451	NA	village	node/90167842
Fadl	NA		33.0822428	15.1984163	NA	village	node/90167981
Takala	NA		33.1037005	15.1767141	NA	village	node/90169210
Wad Rawah	ود راوة		33.1306513	15.1637911	NA	village	node/90169573
Wad at Turabi	NA		33.1279047	15.1362857	NA	village	node/90169925
Kasambar	NA		33.1727083	15.106125	NA	village	node/90170296
Al Kamilin	الكاملين		33.1864413	15.0812654	NA	town	node/90171779
Brankaw	NA		33.2660921	14.9746609	NA	village	node/90171918
Al Hilaliyah	NA		33.2374247	14.9376772	NA	village	node/90172676
Abu 'Ushar	NA		33.2070406	14.917773	NA	village	node/90173492
Ganneb	NA		33.2736452	14.8477621	NA	village	node/90173580
Al Uk	العك		33.2875498	14.8346533	NA	village	node/90174656
Al Junayd	NA		33.3097475	14.7951991	NA	village	node/90187378
Al Hasahisa	NA		33.2987078	14.7357306	NA	town	node/90187514
Rufaah	رفاعة		33.3659991	14.7677692	NA	city	node/90187942
Wadi Halfa	وادي حلفا	Вади-Хальфа	31.350737	21.8005	15725	city	node/100013911
Sonki	NA		30.6776268	21.176875	NA	village	node/100016082
Higlig	هجليج		29.3856417	10.0256429	NA	town	node/210348785
Kaduqli	كادوقلي‎	Kadougli,Кадугли,Кадуглі	29.7155751	11.0085934	92674	city	node/210360300
Abyei	أبيي	アビエイ	28.4334735	9.6044573	NA	town	node/238610118
Kosti	كوستي	Кости,Кості	32.6725113	13.1521864	384e3	city	node/248948488
Al Wusa	NA		32.5158539	13.0369908	NA	village	node/248948627
Um Hajar	NA		32.4272788	13.0404534	NA	village	node/248948635
Um Hajlijah	NA		32.2760296	12.9969623	NA	village	node/248948641
Abu Humayrah	NA		32.2643513	13.0741907	NA	village	node/248948647
Salimah	NA		32.0674386	12.9839427	NA	village	node/248948652
Tandalti	تندلتي		31.866068	13.009027	NA	city	node/248948657
