term	cat
money	CURRENCY
currency	CURRENCY
cash	CURRENCY
afghani	CURRENCY
austral	CURRENCY
baht	CURRENCY
balboa	CURRENCY
birr	CURRENCY
bitcoin	CURRENCY
bolivar	CURRENCY
cedi	CURRENCY
dalasi	CURRENCY
dinar	CURRENCY
dirham	CURRENCY
dollar	CURRENCY
dong	CURRENCY
dobra	CURRENCY
euro	CURRENCY
eurodollar	CURRENCY
escudo	CURRENCY
conto	CURRENCY
forint	CURRENCY
gourde	CURRENCY
guarani	CURRENCY
guilder	CURRENCY
gulden	CURRENCY
florin	CURRENCY
inti	CURRENCY
kina	CURRENCY
kip	CURRENCY
koruna	CURRENCY
krona	CURRENCY
krone	CURRENCY
kroner	CURRENCY
kroon	CURRENCY
kwacha	CURRENCY
kwai	CURRENCY
kwanza	CURRENCY
kyat	CURRENCY
lek	CURRENCY
lempira	CURRENCY
leone	CURRENCY
leu	CURRENCY
lev	CURRENCY
lilangeni	CURRENCY
lira	CURRENCY
loti	CURRENCY
metical	CURRENCY
naira	CURRENCY
ngultrum	CURRENCY
ouguiya	CURRENCY
pa'anga	CURRENCY
pataca	CURRENCY
boliviano	CURRENCY
cordoba	CURRENCY
peso	CURRENCY
pound	CURRENCY
pula	CURRENCY
quetzal	CURRENCY
rand	CURRENCY
rial	CURRENCY
riel	CURRENCY
ringgit	CURRENCY
riyal	CURRENCY
ruble	CURRENCY
rouble	CURRENCY
dram	CURRENCY
manat	CURRENCY
rubel	CURRENCY
lari	CURRENCY
tenge	CURRENCY
lats	CURRENCY
litas	CURRENCY
som	CURRENCY
hryvina	CURRENCY
rupee	CURRENCY
rupiah	CURRENCY
renminbi	CURRENCY
shekel	CURRENCY
shilling	CURRENCY
sucre	CURRENCY
taka	CURRENCY
tala	CURRENCY
tical	CURRENCY
tugrik	CURRENCY
tughrik	CURRENCY
won	CURRENCY
yen	CURRENCY
yuan	CURRENCY
zloty	CURRENCY
stronghold	STRONGHOLD
bastion	STRONGHOLD
citadel	STRONGHOLD
blockhouse	STRONGHOLD
redoubt	STRONGHOLD
fort	STRONGHOLD
outpost	STRONGHOLD
headquarters	STRONGHOLD
car	CAR
sedan	CAR
vehicle	CAR
auto	CAR
automobile	CAR
motorcar	CAR
truck	CAR
van	CAR
lorry	CAR
treaty	TREATY
pact	TREATY
accord	TREATY
written agreement	TREATY
agreement	TREATY
program	PROGRAM
programme	PROGRAM
outline	PROGRAM
schema	PROGRAM
scheme	PROGRAM
agenda	PROGRAM
security	SECURITY
secureness	SECURITY
protection	SECURITY
precaution	SECURITY
safeguard	SECURITY
town	TOWN
municipality	TOWN
borough	TOWN
township	TOWN
city	TOWN
metropolis	TOWN
urban center	TOWN
urban area	TOWN
village	TOWN
settlement	TOWN
community	TOWN
crime	CRIME
offense	CRIME
criminal offense	CRIME
criminal offence	CRIME
offence	CRIME
law-breaking	CRIME
infraction	CRIME
violation	CRIME
infringement	CRIME
