term	cat	cat2
agriculturalist 	AGR	
agriculturist 	AGR	
cattle rancher 	AGR	
cropper 	AGR	
cultivator 	AGR	
dairy farmer 	AGR	
farmer 	AGR	
farm labourer 	AGR	
farm worker 	AGR	
fisher 	AGR	
granger 	AGR	
indigenous farmer 	AGR	
mills association 	AGR	
orchardist 	AGR	
peasant 	AGR	
rancher 	AGR	
sharecropper 	AGR	
sharecrop farmer 	AGR	
sodbuster 	AGR	
subsistence farmer 	AGR	
tenant farmer 	AGR	
buddhist 	BUD	
buddhist clergy 	BUD	
buddhist missionary 	BUD	
buddhist monastary 	BUD	
buddhist monk 	BUD	
buddhist priest 	BUD	
buddhist student 	BUD	EDU
buddhist warrior 	BUD	UAF
aerospace 	BUS	
airline 	BUS	
airline business 	BUS	
airway 	BUS	
agrobusiness 	BUS	AGR
arms industry 	BUS	MIL
automaker 	BUS	
auto maker 	BUS	
auto manufacturer 	BUS	
bargainer 	BUS	
boss 	BUS	
businessperson 	BUS	
business 	BUS	
business executive 	BUS	
business leader 	BUS	
business tycoon 	BUS	
cabinetmaker 	BUS	
cargo ship 	BUS	
cargo vessel 	BUS	
carmaker 	BUS	
car maker 	BUS	
car manufacturer 	BUS	
ceo 	BUS	
chamber of commerce  	BUS	
chamber of commerce and industry 	BUS	
commercial bank 	BUS	
commercial enterprise 	BUS	
company 	BUS	
company owner 	BUS	
computer maker 	BUS	
conglomerate 	BUS	
containership 	BUS	
container ship 	BUS	
container vessel 	BUS	
corporate executive 	BUS	
corporation 	BUS	
credit union 	BUS	
defence industry 	BUS	
defense industry 	BUS	
defence contractor 	BUS	
defense contractor 	BUS	
electronics maker 	BUS	
employer 	BUS	
energy corp 	BUS	
enterpreneur 	BUS	
entrepreneur 	BUS	
exporter 	BUS	
freighter 	BUS	
furniture maker 	BUS	
gas corp 	BUS	
general contractor 	BUS	
holding company 	BUS	
industry 	BUS	
investor 	BUS	
jumbojet 	BUS	
jumbo jet  	BUS	
landlord 	BUS	
leading bank 	BUS	
manafacture 	BUS	
manufacturer 	BUS	
merchandiser 	BUS	
merchant 	BUS	
merchant ship 	BUS	
merchant vessel 	BUS	
monger 	BUS	
oiler 	BUS	
oil corp 	BUS	
oil group 	BUS	
oil tanker 	BUS	
owners of private companies  	BUS	
private bank 	BUS	
producer 	BUS	
savings and loan 	BUS	
securities exchange 	BUS	
shop owner 	BUS	
steelmaker 	BUS	
steelworker 	BUS	
steel tycoon 	BUS	
supertanker 	BUS	
tanker 	BUS	
top executive 	BUS	
tourism industry 	BUS	
tourism office 	BUS	
trader 	BUS	
transport compan 	BUS	
tycoon 	BUS	
waiter 	BUS	
waitress 	BUS	
archbishop 	CHR	
archimandrite 	CHR	
anglican 	CHR	PRO
archdiocese 	CHR	
archpriest 	CHR	CTH
bishop 	CHR	
catholic bishop 	CHR	CTH
catholic missionary 	CHR	CTH
catholic monastary 	CHR	CTH
catholic monk 	CHR	CTH
catholic priest 	CHR	CTH
catholic saint 	CHR	CTH
christian 	CHR	
christian clergy 	CHR	CTH
christian missionary 	CHR	
christian monastary 	CHR	
christian monk 	CHR	
christian priest 	CHR	
diocese 	CHR	
hierarch 	CHR	CTH
high priest 	CHR	CTH
maronite 	CHR	MAR
methodist church 	CHR	PRO
prelate 	CHR	CTH
protestant missionary 	CHR	PRO
unitarian  	REL	CHR
anti-drug agent 	COP	
anti riot police  	COP	
armed border patrol 	COP	
armed police  	COP	
armed riot police  	COP	
border patrol 	COP	
border patrol agent 	COP	
border patrol police  	COP	
border patrol unit 	COP	
central jail authority 	COP	
central jail of  	COP	
constable 	COP	
correctional institution 	COP	
counter drugs expert 	COP	
counter drug expert 	COP	
counter narcotics officer 	COP	
criminal investigator 	COP	
criminal police  	COP	
deputy 	COP	
detective 	COP	
drug enforcement 	COP	
federal police  	COP	
gendarmery  	COP	
head of national police  	COP	
homicide detective 	COP	
investigative agency 	COP	
jail guard 	COP	
lawman  	COP	
law enforcement 	COP	
law enforcement agency 	COP	
law enforcement agents 	COP	
law enforcement authority 	COP	
law enforcement officer 	COP	
law enforcement official 	COP	
local law enforcement 	COP	
narcotics officer 	COP	
national police  	COP	
national police chief 	COP	
national security force 	MIL	 
police  	COP	
police captain 	COP	
