id,112560
academic conference,6
action film,1
adventure,1
advertising,62
aeolian landform,1
aerial photography,2
aerospace engineering,7
air force,17
air gun,5
air show,1
air travel,5
aircraft,8
aircraft carrier,1
aircraft engine,2
airline,4
airliner,4
airman,1
airplane,4
airsoft gun,4
album cover,8
ammunition,0
amphibious assault ship,1
amphibious transport dock,2
angle,28
architecture,2
arctic,2
area,81
arm,4
armored car,6
army,17
army men,1
art,59
artwork,6
assault rifle,1
atlas,1
atmosphere,2
audience,11
auditorium,6
automotive design,6
automotive tire,1
aviation,8
award,2
azure,4
badge,2
ball,1
ballroom,1
banner,19
banquet,1
battlecruiser,2
battleship,2
beak,1
bedrock,1
big cats,1
biome,1
bird,1
bird's eye view,1
black,2
black and white,20
blue,4
board game,1
boat,4
boating,1
boats and boating equipment and supplies,1
boeing,1
boeing e 3 sentry,1
book,1
border,1
bottle,1
branch,1
brand,87
brick,1
brickwork,1
brochure,2
building,5
bullet,1
business,6
business school,3
businessperson,4
car,7
carnivoran,3
cartoon,16
cat like mammal,1
cattle like mammal,1
ceremony,1
championship,1
charadriiformes,1
cheek,2
chess,1
child,6
chin,1
choir,1
choreography,1
churchill tank,3
circle,14
city,9
cityscape,1
class,1
classroom,1
clip art,22
close up,1
cobalt blue,1
collection,0
colonel,1
coloring book,1
combat medic,1
combat vehicle,5
comic book,8
comics,36
commercial building,2
communication,43
compact car,1
competition,2
competition event,2
computer program,1
computer wallpaper,34
condominium,1
conference hall,1
convention,6
convention center,3
conversation,17
cool,1
corporate headquarters,3
course,1
crest,1
crew,1
crowd,18
dancer,1
darkness,1
daughter,1
daylighting,1
daytime,1
demon,1
demonstration,11
desert,1
design,33
destroyer,2
diagram,26
dinosaur,1
display advertising,6
display device,3
document,8
downtown,2
drawing,10
dreadnought,1
ducks geese and swans,1
dust,1
ear,2
earth,3
ecoregion,7
ecosystem,1
education,0
electric blue,10
electronic device,1
emblem,7
emotion,1
energy,20
engineering,3
entertainment,1
event,22
extinction,2
facade,4
facial expression,0
facial hair,2
family car,1
fast combat support ship,1
father,1
fauna,6
feather,1
festival,2
fiction,72
fictional character,59
field,1
fighter pilot,2
film,4
finger,4
firearm,7
fish,3
flag,23
flag of the united states,2
flap,1
flight,2
flyer,3
font,192
forehead,5
formal wear,1
