sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
11/02/1999,11/02/1999,Afghanistan,AFG,"Maidam Shar, Nirkh, Sayedabad, Baraki Barak, Pul-e-Alam, Mohammad Agha - Lowgar ",34.259,69.364,6,Richter,Earthquake,"Ground movement",--,--,70,91960,0,0,,1999-0054
25/02/2001,25/02/2001,Afghanistan,AFG,"Fayzabad district (Badakhshan province)",36.4,70.9,6.1,Richter,Earthquake,"Ground movement",--,--,0,0,0,0,,2001-0086
01/06/2001,01/06/2001,Afghanistan,AFG,"Panjsher, Parwan, Kapisa provinces",35.169,69.389,5,Richter,Earthquake,"Ground movement",--,--,4,270,0,0,,2001-0233
03/03/2002,03/03/2002,Afghanistan,AFG,"Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province)",36.429,70.438,6.3,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,150,3513,0,0,,2002-0122
25/03/2002,25/03/2002,Afghanistan,AFG,"Nahrin district (Baghlan province)",36.062,69.31,6.1,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,1000,91228,0,0,,2002-0175
12/04/2002,12/04/2002,Afghanistan,AFG,"Dawabi, Khojakeder villages (Nahrin district, Baghlan province)",35.659,69.417,5.9,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,50,6150,0,0,,2002-0208
10/04/2003,10/04/2003,Afghanistan,AFG,"Yaka Bagh area (Namakab district, Takhar province)",35.976,70.585,5.9,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,1,1001,0,0,,2003-0236
18/07/2004,18/07/2004,Afghanistan,AFG,"Paktya province",33.426,69.524,5.2,Richter,Earthquake,"Ground movement",--,--,2,1040,0,0,,2004-0436
08/10/2005,08/10/2005,Afghanistan,AFG,"Jalalabad district (Nangarhar province)",34.539,73.588,7.6,Richter,Earthquake,"Ground movement",--,--,1,0,50,0,,2005-0575
13/12/2005,13/12/2005,Afghanistan,AFG,"Alishang district (Laghman province), Jalalabad district (Nangarhar province), Badakhsan province",36.357,71.093,6.8,Richter,Earthquake,"Ground movement",--,--,5,501,0,0,,2005-0686
29/07/2006,29/07/2006,Afghanistan,AFG,"Emamsaheb district (Kunduz province)",37.255,68.828,5.6,Richter,Earthquake,"Ground movement",--,--,1,935,0,0,,2006-0405
16/04/2009,16/04/2009,Afghanistan,AFG,"Sherzad, Hesarak, Khogyani districts (Nangarhar province)",34.185,70.08,5.5,Richter,Earthquake,"Ground movement",--,--,22,3309,0,0,,2009-0156
18/04/2010,18/04/2010,Afghanistan,AFG,"Samangan province",35.633,67.658,5.6,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,11,1070,0,0,,2010-0669
11/06/2012,11/06/2012,Afghanistan,AFG,"Burka, Mullah Jan villages (Burka district, Baghlan province) Nahrin, Guzargah-e-Nur, Khost Wa Fereng, Khwajahejran districts (Baghlan province)",36.082,69.32,5.7,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,73,237,0,0,,2012-0164
24/04/2013,24/04/2013,Afghanistan,AFG,"Kama, Dehbala, Lalpur, Surkhrod, Kuzkunar, Sherzad, Khogyani, Chaparhar, Dara-e-Nur, Goshta, Durbaba, Muhmand Dara, Behsud, Jalalabad, Batikot, Hesarak, Shinwar, Achin districts (Nangarhar province), Nurgal, Khaskunar, Sarkani, Chawkay (Kunar province)",,,5.7,Richter,Earthquake,"Ground movement",--,--,18,3531,0,0,,2013-0151
26/10/2015,26/10/2015,Afghanistan,AFG,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces",36.524,70.37,7.5,Richter,Earthquake,"Ground movement",--,--,115,92725,0,0,,2015-0476
25/12/2015,25/12/2015,Afghanistan,AFG,"Ashkasham town (Eshkmesh district, Badakhshan province)",36.494,71.13,6.3,Richter,Earthquake,"Ground movement",--,--,0,407,0,0,,2015-0571
07/09/2009,07/09/2009,Albania,ALB,"Peshkopi district",,,5.2,Richter,Earthquake,"Ground movement",--,--,0,150,0,0,,2009-0366
22/12/1999,22/12/1999,Algeria,DZA,"Aïn Témuchent",35.321,-1.281,5.6,Richter,Earthquake,"Ground movement",--,--,22,15175,60929,0,,1999-0561
21/05/2003,21/05/2003,Algeria,DZA,"Thenia, Zemmouri, Boumerdes, Dellys, Khemis El Khechna, Bordj Menaiel, Isser districts (Boumerdes province), Reghaia, Rouiba, Bab El Oued, Alger, Casbah, Hamma Anassers districts (Alger province)",36.964,3.634,6.8,Richter,Earthquake,"Ground movement","Tsunami/Tidal wave",--,2266,210261,5000000,0,,2003-0245
27/05/2003,27/05/2003,Algeria,DZA,"Zemmouri district (Boumerdes province)",36.939,3.578,5.8,Richter,Earthquake,"Ground movement",--,--,9,200,0,0,,2003-0255
10/01/2004,10/01/2004,Algeria,DZA,"Alger, Boumerdes provinces",36.852,3.418,4.5,Richter,Earthquake,"Ground movement",--,--,0,300,0,0,,2004-0011
01/12/2004,01/12/2004,Algeria,DZA,"Boumerdes district (Boumerdes province)",36.848,3.448,4.5,Richter,Earthquake,"Ground movement",--,--,0,15,0,0,,2004-0620
20/03/2006,20/03/2006,Algeria,DZA,"Laalam village (Tamridjet district, Bejaia province)",36.623,5.328,5.2,Richter,Earthquake,"Ground movement",--,--,4,319,0,0,,2006-0149
01/08/2014,01/08/2014,Algeria,DZA,"Alger, Boumerdes provinces",36.856,3.18,5.6,Richter,Earthquake,"Ground movement",--,--,6,420,0,0,,2014-0298
29/09/2009,29/09/2009,"American Samoa",ASM,"Pago Pago, Tula villages ",-15.489,-172.095,8.1,Richter,Earthquake,Tsunami,"Tsunami/Tidal wave",--,34,2500,0,0,,2009-0420
28/05/2002,28/05/2002,Argentina,ARG,"Aminga, Anillaco, Agua Blanca, Chuquis towns (Castro Barros district, La Rioja Provinve)",-28.937,-66.797,6,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,0,727,0,0,,2002-0368
04/06/1999,04/06/1999,Azerbaijan,AZE,"Agdash, Geokchai, Udzhar",40.802,47.448,5.4,Richter,Earthquake,"Ground movement",--,--,1,9168,5000,0,,1999-0196
25/11/2000,25/11/2000,Azerbaijan,AZE,"Absheron, Baku, Sumgayit districts (Absheron province)",40.245,49.946,7,Richter,Earthquake,"Ground movement",--,--,31,3294,10000,0,,2000-0769
07/05/2012,07/05/2012,Azerbaijan,AZE,"Balaken, Gakh, Zagatala districts (Shaki-Zaqatala province)",41.549,46.79,5.6,Richter,Earthquake,"Ground movement",--,--,0,15550,0,0,,2012-0191
18/05/2012,18/05/2012,Azerbaijan,AZE,"Zagatala, Gakh districts (Shaki-Zaqatala province)",,,4.8,Richter,Earthquake,"Ground movement",--,--,0,6949,0,0,,2012-0545
22/07/1999,22/07/1999,Bangladesh,BGD,"Maheshkhali Isl. Level 1 = Chittagong Div",21.544,91.895,5.2,Richter,Earthquake,"Ground movement",--,--,6,15200,0,0,,1999-0228
02/01/2000,02/01/2000,Bangladesh,BGD,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,,Richter,Earthquake,"Ground movement",--,--,0,1000,0,0,,2000-0023
26/07/2003,26/07/2003,Bangladesh,BGD,"Chittagong, Cox's Bazar, Rangamati districts (Chittagong province)",22.854,92.306,5.7,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,2,2525,0,0,,2003-0452
26/12/2004,26/12/2004,Bangladesh,BGD,"Barisal, Chittagong, Khulna provinces",3.295,95.982,9.1,Richter,Earthquake,Tsunami,--,--,2,0,500000,0,,2004-0659
