sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
/01/2005,/02/2005,Afghanistan,AFG,"Badakhshan, Daykundi, Ghazni, Paktika, Ghor, Zabul, Uruzgan, Wardak provinces",,,,Kph,Storm,--,"Cold wave",--,260,22656,5000,0,,2005-0044
01/01/2006,/02/2006,Afghanistan,AFG,"Deh Mardi, Deh Yak villages (Sancharak district, Sar-e-Pul province), Gholdori, Aular village (Kohestanat district, Sar-e-Pul province), Lash-e-Juwayn district (Farah province), Kandahar province",,,,Kph,Storm,--,"Cold wave",Rain,29,0,0,0,,2006-0029
/02/2006,/02/2006,Afghanistan,AFG,"Badakhshan province",,,,Kph,Storm,"Convective storm",--,--,42,0,0,0,,2006-0068
10/02/2011,14/02/2011,Afghanistan,AFG,"Daykundi province",,,,Kph,Storm,"Convective storm","Avalanche (Snow, Debris)",--,21,5,0,0,,2011-0642
01/02/2014,07/02/2014,Afghanistan,AFG,"Jawzjan, Faryab, Kunduz, Kabul provinces",,,,Kph,Storm,"Convective storm","Cold wave",--,63,0,0,0,,2014-0084
24/01/2017,25/01/2017,Afghanistan,AFG,"Darzab district (Jawzjan province); Bamyan, Shawel region (Baghlan province)",,,,Kph,Storm,"Convective storm","Cold wave","Avalanche (Snow, Debris)",31,0,0,0,,2017-0038
17/02/2017,19/02/2017,Afghanistan,AFG,"Kabul province, Kohistan, Pashtoonkot, Andkhoy, Qurmkul, Balcheragh, and Dawlat districts (Faryab province)",,,,Kph,Storm,"Convective storm","Slide (land, mud, snow, rock)",Snow/ice,36,9055,0,0,,2017-0071
08/01/2002,08/01/2002,Albania,ALB,"Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Kukes, Has, Tropoje, Lezhe, Kurbin, Mirdite provinces (Shkoder, Diber, Kukes, Lezhe prefectures) (Shkoder, Diber, Puke, Kukes, Dibrell, Chukkas, Lezhe most affected cities)",,,,Kph,Storm,"Convective storm","Cold wave",--,6,125000,0,0,,2002-0010
23/01/2005,28/02/2005,Albania,ALB,"Kukes, Has, Tropoje, Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Lezhe, Kurbin, Mirdite, Korce, Devoll, Kolonje, Pogradec, Elbasan, Gramsh, Librazhd, Peqin, Berat, Kucove, Skrapar, Gjirokaster, Permet, Tepelene, Vlore, Delvine, Sarande, Vlore Has provinces",,,,Kph,Storm,"Convective storm","Cold wave","Avalanche (Snow, Debris)",2,400000,0,0,,2005-0045
29/12/2000,29/12/2000,Algeria,DZA,"Bejaia, Alger provinces",,,160,Kph,Storm,--,--,--,4,10,0,0,,2000-0847
31/01/2003,31/01/2003,Algeria,DZA,"Alger, Bejaia, Tizi Ouzou, Annaba, Oran provinces",,,0,Kph,Storm,--,--,--,13,0,0,0,,2003-0059
/02/2005,/02/2005,Algeria,DZA,"Annaba, Alger, Jijel, Tizi Ouzou provinces",,,,Kph,Storm,--,--,--,10,5,0,0,,2005-0078
05/01/2004,05/01/2004,"American Samoa",ASM,"American Samoa",,,310,Kph,Storm,"Tropical cyclone",--,--,0,23060,150000,0,Heta,2004-0004
16/02/2005,16/02/2005,"American Samoa",ASM,"Manu'a island",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,0,0,Olaf,2005-0151
17/11/1999,19/11/1999,Anguilla,AIA,,,,215,Kph,Storm,"Tropical cyclone",--,--,0,150,50,0,Lenny,1999-0528
06/09/2017,06/09/2017,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,--,4,15000,200000,6700,"Hurricane 'Irma'",2017-0381
20/10/1999,20/10/1999,"Antigua and Barbuda",ATG,"Crab's Hill, Five Isl., Cobbs Cross",,,160,Kph,Storm,"Tropical cyclone",--,--,1,2534,0,0,Jose,1999-0438
17/11/1999,19/11/1999,"Antigua and Barbuda",ATG,,,,215,Kph,Storm,"Tropical cyclone",--,--,1,3423,0,0,Lenny,1999-0525
15/10/2008,16/10/2008,"Antigua and Barbuda",ATG,"All country affected (no more data)",,,,Kph,Storm,"Tropical cyclone",Flood,--,0,25800,0,0,"Hurricane ""Omar""",2008-0604
29/08/2010,31/08/2010,"Antigua and Barbuda",ATG,"All country affected (no data)",,,142,Kph,Storm,"Tropical cyclone",Flood,--,0,5000,12600,0,"Hurricane Earl",2010-0468
06/09/2017,06/09/2017,"Antigua and Barbuda",ATG,"Barbuda, St John and St George districts (Crosbies, Fort Road, Clare Hall, Grays Farm, Pigotts) (Antigua)",,,295,Kph,Storm,"Tropical cyclone",--,--,1,1400,250000,6800,"Hurricane 'Irma'",2017-0381
/09/2000,/09/2000,Argentina,ARG,"Neugen, Rio Negro, Chubut, Santa Cruz (Patagonia region)",,,,Kph,Storm,"Convective storm",--,--,0,0,0,0,,2000-0607
27/12/2000,27/12/2000,Argentina,ARG,"Buenos Aires D.f., Buenos Aires provinces",,,96,Kph,Storm,"Convective storm",--,--,1,430,0,0,,2000-0839
10/01/2001,10/01/2001,Argentina,ARG,"Buenos Aires province",,,200,Kph,Storm,--,--,--,4,650,0,0,,2001-0012
05/04/2001,05/04/2001,Argentina,ARG,"Palma Sola city (Santa Barbara district, Jujuy province), Salta and Catamarca provinces",,,,Kph,Storm,--,--,--,16,2000,15000,0,,2001-0147
22/10/2002,22/10/2002,Argentina,ARG,"Entre Rios, Santa Fe, Buenos Aires, Buenors Aires D.f. provinces",,,0,Kph,Storm,--,--,--,3,5000,0,0,,2002-0723
11/11/2003,13/11/2003,Argentina,ARG,"Sante Fe, Cordoba, Buenos Aires provinces",,,,Kph,Storm,"Convective storm",Flood,Hail,12,900,0,0,,2003-0539
30/01/2005,30/01/2005,Argentina,ARG,"Buenos Aires D.f., Buenos Aires provinces",,,90,Kph,Storm,--,--,--,11,252,0,0,,2005-0055
09/09/2009,09/09/2009,Argentina,ARG,"Santa Rosa, Tobuna, Pozo Azul cities (San Pedro district, Misiones province)",,,,Kph,Storm,"Convective storm",--,--,10,24,0,0,,2009-0356
04/04/2012,04/04/2012,Argentina,ARG,"Buenos Aires , Buenos Aires D.f. provinces",,,150,Kph,Storm,"Convective storm",--,--,18,2020,10000,0,,2012-0087
29/10/2012,31/10/2012,Argentina,ARG,"Buenos Aires, Buenos Aires D.f. provinces",,,110,Kph,Storm,"Convective storm",Flood,--,1,7510,2000,0,,2012-0420
03/12/2013,03/12/2013,Argentina,ARG,"Banfield city (Lomas de Zamora district, Buenos Aires province), Chivilcoy district (Buenos Aires province).",,,,Kph,Storm,"Convective storm",--,--,4,12,2000,0,,2013-0551
15/02/2015,24/02/2015,Argentina,ARG,"Colon, Cruz del Eje, Punilla districts (Cordoba province)",,,,Kph,Storm,"Convective storm",Flood,--,8,4500,17200,0,,2015-0044
12/05/2013,17/05/2013,Armenia,ARM,"Armavir province",,,,Kph,Storm,"Convective storm",Hail,--,0,64000,60000,0,,2013-0194
02/02/1999,11/02/1999,Australia,AUS,"Queensland State",,,170,Kph,Storm,"Tropical cyclone",Flood,--,5,2000,300000,0,Rona,1999-0051
19/03/1999,23/03/1999,Australia,AUS,Exmouth,,,300,Kph,Storm,"Tropical cyclone",--,--,1,2672,200000,0,Vance,1999-0092
14/04/1999,14/04/1999,Australia,AUS,Sydney,,,,Kph,Storm,"Convective storm",Hail,--,1,6024,1500000,1100000,,1999-0104
14/07/1999,15/07/1999,Australia,AUS,"Whim Creek, Roeburne",,,300,Kph,Storm,--,--,--,0,1,196300,0,John,1999-0739
27/02/2000,13/03/2000,Australia,AUS,"Cairns, Tablelands districts (Queensland province), New South Wales province",,,120,Kph,Storm,"Tropical cyclone",Flood,--,1,200,90000,10000,Steve,2000-0097
03/04/2000,03/04/2000,Australia,AUS,"Townsville district (Queensland province)",,,130,Kph,Storm,"Tropical cyclone",--,--,0,400,60000,0,Tessi,2000-0214
07/12/2000,07/12/2000,Australia,AUS,"Bidyadanga area (Broome district, Western Australia province)",,,280,Kph,Storm,"Tropical cyclone",--,--,0,750,0,0,Sam,2000-0843
16/01/2001,16/01/2001,Australia,AUS,"Sydney district (New South Wales province)",,,112,Kph,Storm,--,--,--,1,0,6600,0,,2001-0030
18/01/2001,18/01/2001,Australia,AUS,"Brisbane district (Queensland province), Kiama, Shellharbour, Wingecarribee, Wollongong, Hornsby, Ku-ring-gai, Waverley, Richmond Valley, Armidale Dumaresq, Tamworth Regional, Clarence Valley, Kyogle districts (New South Wales province)",,,,Kph,Storm,--,--,--,1,27,0,0,,2001-0045
26/04/2001,26/04/2001,Australia,AUS,"Gold Coast district (Queensland province)",,,,Kph,Storm,"Convective storm",--,--,0,180,0,0,,2001-0301
16/02/2002,16/02/2002,Australia,AUS,"Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)",,,100,Kph,Storm,--,Rain,--,0,0,0,0,,2002-0157
