agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"Food and Agriculture Organization",Africa,BDI,Burundi,2006-09-08,Multiple,06-FAO-194,192,"Distribution of disease-free cassava cuttings","Eastern Africa",M,300000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"Food and Agriculture Organization",Africa,BDI,Burundi,2006-06-28,Displacement,06-FAO-136,132,"Assistance agricole d'urgence aux populations rurales vulnérabilisées  par le conflit et les aléas naturels, aux repatriés en réinstallation, ainsi qu'aux groupes spécifiques vulnérables.","Eastern Africa",M,300000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,BDI,Burundi,2006-06-28,Displacement,06-HCR-137,142,"Return and reintegration of Burundian Refugees","Eastern Africa",M,699955.2,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"World Health Organization",Africa,BDI,Burundi,2006-09-08,Multiple,06-WHO-192,250,"Epidemic surveillance and response capacities ","Eastern Africa",M,306020.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,BDI,Burundi,2006-07-14,"Disruption of basic services",06-WHO-135,183,"Increase access to an essential care package for IDPs, refugees and other vulnerable.","Eastern Africa",M,1083375.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,BDI,Burundi,2006-09-08,Multiple,06-HCR-193,210,"Repatriation and Reintegration of Burundian Refugees","Eastern Africa",M,920521.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,BDI,Burundi,2006-10-05,Multiple,06-HCR-275,216,"Repatriation and Reintegration of Burundian Refugees","Eastern Africa",M,325195.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,DJI,Djibouti,2006-05-02,Drought,06-FAO-024,6,"Drought response in Djibouti","Eastern Africa",M,266355.16,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations Development Programme",Africa,DJI,Djibouti,2006-04-13,Drought,06-UDP-025,25,"Strengthening ONARS capacity in the area of communication and logistics coordination","Eastern Africa",M,26000.0,"Rapid Response",2006,"Common Logistics",Logistics,"",""
"World Food Programme",Africa,DJI,Djibouti,2006-05-11,Drought,06-WFP-022,82,"Emergency Food Assistance to Victims of Drought","Eastern Africa",M,250000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,BDI,Burundi,2006-09-08,Multiple,06-WHO-199,251,"Comprehensive emergency nutrition program in Kirundo, Muyinga and Rutana Provinces","Eastern Africa",M,134781.0,"Underfunded Emergencies",2006,Nutrition,Nutrition,"",""
