year,iso," country_name","disaster type",occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
1960,BGD,Bangladesh,Flood,1,10000,,,,,
1960,BGD,Bangladesh,Storm,2,8149,,200000,,200000,
1960,CHL,Chile,Earthquake,2,6570,3000,2000000,,2003000,550000
1960,IND,India,Flood,4,237,,160000,,160000,
1960,ITA,Italy,Landslide,1,12,,,,,
1960,JPN,Japan,Earthquake,1,138,,,,,140000
1960,JPN,Japan,Storm,1,41,,,,,
1960,MAR,Morocco,Earthquake,1,12000,25000,,,25000,120000
1960,PER,Peru,Earthquake,1,57,,,,,
1960,PHL,"Philippines (the)",Earthquake,1,32,,,,,
1960,PHL,"Philippines (the)",Landslide,1,40,,,,,
1960,PHL,"Philippines (the)",Storm,6,631,,425000,,425000,32000
1960,TWN,"Taiwan (Province of China)",Storm,1,199,,,,,
1960,USA,"United States of America (the)",Earthquake,1,61,,,,,
1960,USA,"United States of America (the)",Storm,1,50,,,,,387000
1961,BGD,Bangladesh,Storm,3,11266,,,,,11900
1961,CAN,Canada,Drought,1,,,,,,
1961,FRA,France,Landslide,1,21,,,,,
1961,GRC,Greece,Storm,1,43,,,,,
1961,IND,India,"Extreme temperature ",1,400,,,,,
1961,IND,India,Flood,4,3057,,,2000,2000,
1961,JPN,Japan,Flood,1,357,,1302249,,1302249,
1961,JPN,Japan,Storm,2,296,,,,,
1961,KOR,"Korea (the Republic of)",Flood,1,249,,,,,
1961,MEX,Mexico,Storm,1,436,,,,,
1961,SUN,"Soviet Union",Landslide,1,145,,,,,
1961,TWN,"Taiwan (Province of China)",Storm,1,106,,,,,
1961,USA,"United States of America (the)",Storm,2,146,,,,,408000
1962,CAN,Canada,Storm,1,33,,,,,
1962,COL,Colombia,Earthquake,1,112,,,,,
1962,COL,Colombia,Flood,1,135,,,,,
1962,IND,India,Flood,2,173,,,,,
1962,IND,India,Storm,1,,,40000,,40000,
1962,JPN,Japan,Flood,1,71,,,,,
1962,KOR,"Korea (the Republic of)",Flood,1,290,,,,,
1962,MEX,Mexico,"Extreme temperature ",1,50,,,,,
1962,PER,Peru,Landslide,1,41,,,,,
1962,PER,Peru,"Mass movement (dry)",1,2000,,,,,200000
1962,PER,Peru,Storm,1,60,,,,,
1962,PHL,"Philippines (the)",Storm,2,197,,,,,
1962,ESP,Spain,Flood,1,445,,,,,80000
1962,TWN,"Taiwan (Province of China)",Storm,1,107,,,,,
1962,THA,Thailand,Storm,1,769,,,,,19000
1962,USA,"United States of America (the)",Storm,3,158,,,,,350000
1963,AFG,Afghanistan,Flood,1,107,,,,,
1963,BGD,Bangladesh,Flood,1,30,,,,,
1963,BGD,Bangladesh,Storm,2,22079,,1000000,,1000000,50000
1963,BEL,Belgium,"Extreme temperature ",1,12,,,,,
