"","ym","alertOrNot","countryName","sumFundingAll","year","disaster.type","total_Affected"
"1",200603,"LOW","Cote d'Ivoire",696438,2006,"Drought",19900000
"2",200603,"LOW","Cote d'Ivoire",696438,2006,"Earthquake",2649849
"3",200603,"LOW","Cote d'Ivoire",696438,2006,"Epidemic",13083
"4",200603,"LOW","Cote d'Ivoire",696438,2006,"Extreme temperature ",0
"5",200603,"LOW","Cote d'Ivoire",696438,2006,"Flood",22837930
"6",200603,"LOW","Cote d'Ivoire",696438,2006,"Landslide",317757
"7",200603,"LOW","Cote d'Ivoire",696438,2006,"Mass movement (dry)",0
"8",200603,"LOW","Cote d'Ivoire",696438,2006,"Storm",66293714
"9",200603,"LOW","Cote d'Ivoire",696438,2006,"Volcanic activity",74849
"10",200603,"LOW","Cote d'Ivoire",696438,2006,"Wildfire",0
"11",200603,"LOW","Djibouti",320000,2006,"Drought",19900000
"12",200603,"LOW","Djibouti",320000,2006,"Earthquake",2649849
"13",200603,"LOW","Djibouti",320000,2006,"Epidemic",13083
"14",200603,"LOW","Djibouti",320000,2006,"Extreme temperature ",0
"15",200603,"LOW","Djibouti",320000,2006,"Flood",22837930
"16",200603,"LOW","Djibouti",320000,2006,"Landslide",317757
"17",200603,"LOW","Djibouti",320000,2006,"Mass movement (dry)",0
"18",200603,"LOW","Djibouti",320000,2006,"Storm",66293714
"19",200603,"LOW","Djibouti",320000,2006,"Volcanic activity",74849
"20",200603,"LOW","Djibouti",320000,2006,"Wildfire",0
"21",200603,"LOW","Eritrea",450000,2006,"Drought",19900000
"22",200603,"LOW","Eritrea",450000,2006,"Earthquake",2649849
"23",200603,"LOW","Eritrea",450000,2006,"Epidemic",13083
"24",200603,"LOW","Eritrea",450000,2006,"Extreme temperature ",0
"25",200603,"LOW","Eritrea",450000,2006,"Flood",22837930
"26",200603,"LOW","Eritrea",450000,2006,"Landslide",317757
"27",200603,"LOW","Eritrea",450000,2006,"Mass movement (dry)",0
"28",200603,"LOW","Eritrea",450000,2006,"Storm",66293714
"29",200603,"LOW","Eritrea",450000,2006,"Volcanic activity",74849
"30",200603,"LOW","Eritrea",450000,2006,"Wildfire",0
"31",200603,"LOW","Ethiopia",350000,2006,"Drought",19900000
"32",200603,"LOW","Ethiopia",350000,2006,"Earthquake",2649849
"33",200603,"LOW","Ethiopia",350000,2006,"Epidemic",13083
"34",200603,"LOW","Ethiopia",350000,2006,"Extreme temperature ",0
"35",200603,"LOW","Ethiopia",350000,2006,"Flood",22837930
"36",200603,"LOW","Ethiopia",350000,2006,"Landslide",317757
"37",200603,"LOW","Ethiopia",350000,2006,"Mass movement (dry)",0
"38",200603,"LOW","Ethiopia",350000,2006,"Storm",66293714
"39",200603,"LOW","Ethiopia",350000,2006,"Volcanic activity",74849
"40",200603,"LOW","Ethiopia",350000,2006,"Wildfire",0
"41",200603,"LOW","Kenya",4030000,2006,"Drought",19900000
"42",200603,"LOW","Kenya",4030000,2006,"Earthquake",2649849
"43",200603,"LOW","Kenya",4030000,2006,"Epidemic",13083
"44",200603,"LOW","Kenya",4030000,2006,"Extreme temperature ",0
"45",200603,"LOW","Kenya",4030000,2006,"Flood",22837930
"46",200603,"LOW","Kenya",4030000,2006,"Landslide",317757
"47",200603,"LOW","Kenya",4030000,2006,"Mass movement (dry)",0
"48",200603,"LOW","Kenya",4030000,2006,"Storm",66293714
"49",200603,"LOW","Kenya",4030000,2006,"Volcanic activity",74849
"50",200603,"LOW","Kenya",4030000,2006,"Wildfire",0
"51",200603,"LOW","Somalia",1256540,2006,"Drought",19900000
"52",200603,"LOW","Somalia",1256540,2006,"Earthquake",2649849
"53",200603,"LOW","Somalia",1256540,2006,"Epidemic",13083
"54",200603,"LOW","Somalia",1256540,2006,"Extreme temperature ",0
"55",200603,"LOW","Somalia",1256540,2006,"Flood",22837930
"56",200603,"LOW","Somalia",1256540,2006,"Landslide",317757
"57",200603,"LOW","Somalia",1256540,2006,"Mass movement (dry)",0
"58",200603,"LOW","Somalia",1256540,2006,"Storm",66293714
"59",200603,"LOW","Somalia",1256540,2006,"Volcanic activity",74849
"60",200603,"LOW","Somalia",1256540,2006,"Wildfire",0
"61",200604,"LOW","Djibouti",1069000,2006,"Drought",19900000
"62",200604,"LOW","Djibouti",1069000,2006,"Earthquake",2649849
"63",200604,"LOW","Djibouti",1069000,2006,"Epidemic",13083
"64",200604,"LOW","Djibouti",1069000,2006,"Extreme temperature ",0
"65",200604,"LOW","Djibouti",1069000,2006,"Flood",22837930
"66",200604,"LOW","Djibouti",1069000,2006,"Landslide",317757
