"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"1","/10/1964","/10/1964",1964,"India","Andhra Pradesh",NA,NA,350600,"Flood","--","--",18,32000000,500,NA,"1964-0055",65.431,24.7202
"2","/06/1966","/06/1966",1966,"India","Manipur, Assam",NA,NA,276600,"Flood","--","--",1200,1801000,1400,NA,"1966-0046",162.878,29.2624
"3","/07/1968","/07/1968",1968,"India","(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",NA,NA,312900,"Flood","Flash flood","--",239,8,94200,NA,"1968-0055",257.788,27.015
"4","/07/1970","/07/1970",1970,"India","North-East, Western, North",NA,NA,491400,"Flood","--","--",827,1200,101200,NA,"1970-0034",226.79,27.1535
"5","/06/1971","/06/1971",1971,"India","North",NA,NA,131743.41,"Flood","--","--",239,3000,530000,NA,"1971-0037",211.087,27.5838
"6","/07/1975","/07/1975",1975,"India","Northwest, Bihar",NA,NA,91960,"Flood","--","--",500,22120000,714259,NA,"1975-0037",284.53,26.395
"7","/07/1978","/07/1978",1978,"India","North, Northeast",NA,NA,147437,"Flood","--","--",229,17200000,165000,NA,"1978-0087",266.452,26.4109
"8","/09/1978","/09/1978",1978,"India","West Bengal",NA,NA,35550,"Flood","--","--",158,3000,1000,NA,"1978-0111",175.362,25.9029
"9","/07/1979","/07/1979",1979,"India","North West, North, North East",NA,NA,6530,"Flood","--","--",514,7200000,100000,NA,"1979-0060",218.972,27.5447
"10","/08/1980","/08/1980",1980,"India","Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana",NA,NA,28684,"Flood","--","--",932,24600000,320000,NA,"1980-0074",250.343,26.3366
"11","4-7-1981","4-7-1981",1981,"India",NA,NA,NA,129500,"Flood","--","--",741,179000,250000,NA,"1981-0063",290.396,26.9377
"12","/08/1982","/08/1982",1982,"India","Northeast",NA,NA,35550,"Flood","--","--",44,10351000,700000,NA,"1982-0087",245.538,26.4681
"13","/05/1984","/05/1984",1984,"India","North-East states",NA,NA,177500,"Flood","--","--",15,3443989,90000,NA,"1984-0040",37.8376,30.9942
"14","/06/1985","/06/1985",1985,"India","Uttar Pradesh, West Bengal, Punjab (North, North-West, East India)",NA,NA,404,"Flood","--","--",284,12,500000,NA,"1985-0068",118.821,29.103
"15","/09/1985","/09/1985",1985,"India","Uttar Pradesh, Bihar",NA,NA,90000,"Flood","Riverine flood","--",325,24600000,308000,NA,"1985-0317",129.073,26.3416
"16","/08/1986","/08/1986",1986,"India","Andhra Pradesh",NA,NA,2400,"Flood","Riverine flood","--",100,3443989,100000,NA,"1986-0085",224.674,26.172
"17","10-10-1986","10-10-1986",1986,"India",NA,NA,NA,42597,"Flood","--","--",50,2000000,276100,NA,"1986-0239",59.8377,24.704
"18","/08/1987","/08/1987",1987,"India","Assam, Bihar, West Bengal",NA,NA,40000,"Flood","Riverine flood","--",2001,550000,545000,NA,"1987-0137",245.728,27.1904
"19","/06/1988","/06/1988",1988,"India","Bihar, West Bengal, Assam",NA,NA,312900,"Flood","Riverine flood","--",51,275000,929200,NA,"1988-0244",157.059,29.3925
"20","22-9-1988","9-10-1988",1988,"India","Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",NA,NA,28684,"Flood","Riverine flood","--",47,18400,18000,NA,"1988-0438",39.5473,24.6237
"21","10-6-1991","12-6-1991",1991,"India","Bombay, Kerala, Gujarat",NA,NA,491400,"Flood","Riverine flood","--",6054,1000000,100000,48000,"1991-0278",164.781,28.9311
"22","1-6-1991","9-7-1991",1991,"India","Kerala state",NA,NA,2400,"Flood","Riverine flood","--",239,10225000,118000,NA,"1991-0509",164.781,28.9311
"23","14-9-1991","15-9-1991",1991,"India","West Bengal state",NA,NA,91960,"Flood","Riverine flood","--",50,179000,40000,NA,"1991-0766",126.23,26.4251
"24","8-9-1992","31/09/1992",1992,"India","Uttar Pradesh, Jammu, Madhya Pradesh",NA,NA,2400,"Flood","Riverine flood","Slide (land, mud, snow, rock)",500,1801000,57850,NA,"1992-0083",157.851,25.9002
"25","8-10-1992","8-10-1992",1992,"India","Vamanapuram, Amravilla (Trivadrum district, Kerala state)",NA,NA,550,"Flood","Riverine flood","--",254,275000,182100,NA,"1992-0147",55.7493,24.6237
"26","10-11-1992","10-11-1992",1992,"India","Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",NA,NA,42597,"Flood","--","--",72,100000,69000,NA,"1992-0483",38.2194,21.0987
"27","8-7-1993","31-7-1993",1993,"India","Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states",NA,NA,80937,"Flood","--","--",18,70000,7000000,NA,"1993-0042",239.945,27.2327
"28","9-9-1993","17-9-1993",1993,"India","Uttar Pradesh",NA,NA,762900,"Flood","Riverine flood","--",810,100000,500000,NA,"1993-0325",191.799,26.1197
"29","/05/1994","/10/1994",1994,"India","Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",NA,NA,93202.05,"Flood","--","--",33,900000,175000,NA,"1994-0068",88.0855,24.5888
"30","1-9-1995","20-9-1995",1995,"India","Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",NA,NA,762900,"Flood","Riverine flood","--",1479,22120000,258000,NA,"1995-0228",176.999,26.5087
"31","5-9-1995","8-9-1995",1995,"India","Sikkim state",NA,NA,6520,"Flood","Riverine flood","Slide (land, mud, snow, rock)",179,70000,252,NA,"1995-0485",176.999,26.5087
"32","23-10-1995","23-10-1995",1995,"India","Andhra Pradesh",NA,NA,165400,"Flood","Riverine flood","--",210,3267183,2000,NA,"1995-0491",77.7832,25.3159
"33","21-10-1996","25-10-1996",1996,"India","Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",NA,NA,177500,"Flood","Riverine flood","--",82,500,90400,NA,"1996-0245",92.4274,24.4623
"34","10-7-1996","24-7-1996",1996,"India","West Bengal, Arunachal Pradesh, Assam",NA,NA,129000,"Flood","Riverine flood","--",95,10351000,85000,NA,"1996-0496",236.322,27.3916
"35","25-8-1996","1-9-1996",1996,"India","Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",NA,NA,28684,"Flood","--","--",82,3600000,17600,NA,"1996-0501",130.065,26.5663
